t,v
2022-03-31T23:45-07:00,87813.53256806912
2022-04-01T00:00-07:00,84902.82118594961
2022-04-01T00:15-07:00,88865.7534336672
2022-04-01T00:30-07:00,88236.73031538511
2022-04-01T00:45-07:00,86884.8646600776
2022-04-01T01:00-07:00,86555.77500663951
2022-04-01T01:15-07:00,83620.52623807946
2022-04-01T01:30-07:00,85776.9294935027
2022-04-01T01:45-07:00,85537.32913178901
2022-04-01T02:00-07:00,86136.33003607325
2022-04-01T02:15-07:00,88412.53347235335
2022-04-01T02:30-07:00,84219.52714236369
2022-04-01T02:45-07:00,84459.12750407739
2022-04-01T03:00-07:00,83979.92678065
2022-04-01T03:15-07:00,84099.72696150684
2022-04-01T03:30-07:00,86735.33094035748
2022-04-01T03:45-07:00,84578.92768493423
2022-04-01T04:00-07:00,85005.87820899996
2022-04-01T04:15-07:00,87032.95500412474
2022-04-01T04:30-07:00,89320.12809551944
2022-04-01T04:45-07:00,88958.99550214133
2022-04-01T05:00-07:00,91027.35284151316
2022-04-01T05:15-07:00,87634.84265975493
2022-04-01T05:30-07:00,90928.33727034714
2022-04-01T05:45-07:00,86855.13112121433
2022-04-01T06:00-07:00,92278.47087484709
2022-04-01T06:15-07:00,90667.08627353884
2022-04-01T06:30-07:00,91407.53799377453
2022-04-01T06:45-07:00,90568.9367277766
2022-04-01T07:00-07:00,89370.93491920813
2022-04-01T07:15-07:00,91443.91106073347
2022-04-01T07:30-07:00,90426.90856155595
2022-04-01T07:45-07:00,86674.99783722717
2022-04-01T08:00-07:00,89969.93582349236
2022-04-01T08:15-07:00,91048.13745120399
2022-04-01T08:30-07:00,96302.02490082958
2022-04-01T08:45-07:00,95001.54341947995
2022-04-01T09:00-07:00,95241.14378119365
2022-04-01T09:15-07:00,94522.34269605257
2022-04-01T09:30-07:00,94737.11699619111
2022-04-01T09:45-07:00,93653.71921605676
2022-04-01T10:00-07:00,93894.47427830884
2022-04-01T10:15-07:00,93683.74143005464
2022-04-01T10:30-07:00,95241.14378119365
2022-04-01T10:45-07:00,97640.90017508033
2022-04-01T11:00-07:00,93218.97446335698
2022-04-01T11:15-07:00,92246.13925977246
2022-04-01T11:30-07:00,94496.36193393903
2022-04-01T11:45-07:00,98475.74866432852
2022-04-01T12:00-07:00,99314.34993032645
2022-04-01T12:15-07:00,97626.17774321599
2022-04-01T12:30-07:00,97144.66761871184
2022-04-01T12:45-07:00,102200.5239260054
2022-04-01T13:00-07:00,97265.04514983788
2022-04-01T13:15-07:00,100034.01704087133
2022-04-01T13:30-07:00,95098.24958956921
2022-04-01T13:45-07:00,99913.3508346107
2022-04-01T14:00-07:00,94522.34269605257
2022-04-01T14:15-07:00,95959.94486633473
2022-04-01T14:30-07:00,95959.94486633473
2022-04-01T14:45-07:00,97038.14649404636
2022-04-01T15:00-07:00,101106.73384102565
2022-04-01T15:15-07:00,98835.14920689906
2022-04-01T15:30-07:00,99194.5497494696
2022-04-01T15:45-07:00,100632.15191975178
2022-04-01T16:00-07:00,96918.34631318951
2022-04-01T16:15-07:00,95360.9439620505
2022-04-01T16:30-07:00,97876.7477600443
2022-04-01T16:45-07:00,96558.94577061897
2022-04-01T17:00-07:00,98475.74866432852
2022-04-01T17:15-07:00,93803.54161091147
2022-04-01T17:30-07:00,94761.94305776626
2022-04-01T17:45-07:00,94186.0361642496
2022-04-01T18:00-07:00,94402.54251519572
2022-04-01T18:15-07:00,92278.47087484709
