t,v
2022-03-31T23:45-07:00,79714.17431674244
2022-04-01T00:00-07:00,80505.72153580142
2022-04-01T00:15-07:00,80789.77786824272
2022-04-01T00:30-07:00,83740.3264189363
2022-04-01T00:45-07:00,80236.96498549364
2022-04-01T01:00-07:00,78853.34506538071
2022-04-01T01:15-07:00,80952.3019690196
2022-04-01T01:30-07:00,81190.7476301949
2022-04-01T01:45-07:00,80594.63347725662
2022-04-01T02:00-07:00,80475.41064666897
2022-04-01T02:15-07:00,81309.97046078257
2022-04-01T02:30-07:00,79879.29649373068
2022-04-01T02:45-07:00,80713.85630784428
2022-04-01T03:00-07:00,81309.97046078257
2022-04-01T03:15-07:00,80594.63347725662
2022-04-01T03:30-07:00,82621.42159724681
2022-04-01T03:45-07:00,80475.41064666897
2022-04-01T04:00-07:00,80042.68661991134
2022-04-01T04:15-07:00,84219.52714236369
2022-04-01T04:30-07:00,84698.72786579108
2022-04-01T04:45-07:00,85177.92858921847
2022-04-01T05:00-07:00,81943.3237060836
2022-04-01T05:15-07:00,81780.51093017211
2022-04-01T05:30-07:00,82343.427442632
2022-04-01T05:45-07:00,82979.09008900978
2022-04-01T06:00-07:00,81272.15401815064
2022-04-01T06:15-07:00,83380.92587636576
2022-04-01T06:30-07:00,81667.63895254555
2022-04-01T06:45-07:00,81786.8617831332
2022-04-01T07:00-07:00,79163.95951020473
2022-04-01T07:15-07:00,80518.42324172359
2022-04-01T07:30-07:00,81267.82389113173
2022-04-01T07:45-07:00,77901.87182175621
2022-04-01T08:00-07:00,81548.41612195788
2022-04-01T08:15-07:00,85363.54670076293
2022-04-01T08:30-07:00,86406.81863718858
2022-04-01T08:45-07:00,86645.8416486331
2022-04-01T09:00-07:00,88344.11746545437
2022-04-01T09:15-07:00,86198.10651487653
2022-04-01T09:30-07:00,89730.33546177867
2022-04-01T09:45-07:00,87064.42059379557
2022-04-01T10:00-07:00,85657.12931264586
2022-04-01T10:15-07:00,88940.23161839266
2022-04-01T10:30-07:00,85751.52608165836
2022-04-01T10:45-07:00,87151.8891595778
2022-04-01T11:00-07:00,85394.72361529917
2022-04-01T11:15-07:00,86940.867636189
2022-04-01T11:30-07:00,85896.72967435955
2022-04-01T11:45-07:00,87960.46821157787
2022-04-01T12:00-07:00,89753.14079741166
2022-04-01T12:15-07:00,92126.33907891561
2022-04-01T12:30-07:00,88652.13383406705
2022-04-01T12:45-07:00,94761.94305776626
2022-04-01T13:00-07:00,92246.13925977246
2022-04-01T13:15-07:00,92365.93944062931
2022-04-01T13:30-07:00,87573.93220635541
2022-04-01T13:45-07:00,93683.74143005464
2022-04-01T14:00-07:00,88797.04875163364
