t,v
2022-03-31T23:45-07:00,42749.03465674206
2022-04-01T00:00-07:00,44211.17421346479
2022-04-01T00:15-07:00,45592.77340763556
2022-04-01T00:30-07:00,44257.36223499996
2022-04-01T00:45-07:00,44026.422127324106
2022-04-01T01:00-07:00,43943.2836885608
2022-04-01T01:15-07:00,45411.77409824461
2022-04-01T01:30-07:00,45430.82665712787
2022-04-01T01:45-07:00,42749.03465674206
2022-04-01T02:00-07:00,41309.41176051772
2022-04-01T02:15-07:00,41361.37328474479
2022-04-01T02:30-07:00,42766.93251508693
2022-04-01T02:45-07:00,44128.03577470148
2022-04-01T03:00-07:00,45487.98433377764
2022-04-01T03:15-07:00,44109.56056608741
2022-04-01T03:30-07:00,44072.610148859276
2022-04-01T03:45-07:00,44063.37254455224
2022-04-01T04:00-07:00,43980.234105788935
2022-04-01T04:15-07:00,41543.23861953952
2022-04-01T04:30-07:00,41560.55912761521
2022-04-01T04:45-07:00,42865.370735983764
2022-04-01T05:00-07:00,41473.95658723677
2022-04-01T05:15-07:00,44395.92629960547
2022-04-01T05:30-07:00,44192.699004850714
2022-04-01T05:45-07:00,44146.510983315544
2022-04-01T06:00-07:00,43887.858062718595
2022-04-01T06:15-07:00,44257.36223499996
2022-04-01T06:30-07:00,42704.290010879864
2022-04-01T06:45-07:00,41344.0527766691
2022-04-01T07:00-07:00,42757.983585914495
2022-04-01T07:15-07:00,42596.902860810595
2022-04-01T07:30-07:00,44248.124630692924
2022-04-01T07:45-07:00,45364.14270103647
2022-04-01T08:00-07:00,45554.66828986904
2022-04-01T08:15-07:00,46944.92773807766
2022-04-01T08:30-07:00,47082.3371021448
2022-04-01T08:45-07:00,46944.92773807766
2022-04-01T09:00-07:00,45535.61573098579
2022-04-01T09:15-07:00,46856.59314689165
2022-04-01T09:30-07:00,47200.116557059475
2022-04-01T09:45-07:00,49997.37861128322
2022-04-01T10:00-07:00,52632.40523986467
2022-04-01T10:15-07:00,53769.78527016823
2022-04-01T10:30-07:00,53690.976958423846
2022-04-01T10:45-07:00,52270.40662108277
2022-04-01T11:00-07:00,54998.38664300375
2022-04-01T11:15-07:00,50980.317444578555
2022-04-01T11:30-07:00,52665.31420520847
2022-04-01T11:45-07:00,53893.626902909404
2022-04-01T12:00-07:00,55183.13872914443
2022-04-01T12:15-07:00,55506.454879890625
2022-04-01T12:30-07:00,54051.243526398175
2022-04-01T12:45-07:00,51300.74684397879
2022-04-01T13:00-07:00,54028.72686589978
2022-04-01T13:15-07:00,51258.022924058765
2022-04-01T13:30-07:00,51215.29900413873
2022-04-01T13:45-07:00,49789.53251437495
2022-04-01T14:00-07:00,52500.76937848943
2022-04-01T14:15-07:00,53747.26860966984
2022-04-01T14:30-07:00,53848.59358191262
2022-04-01T14:45-07:00,52413.01213757261
2022-04-01T15:00-07:00,52325.25489665579
2022-04-01T15:15-07:00,53814.81859116502
2022-04-01T15:30-07:00,52358.163861999594
2022-04-01T15:45-07:00,50926.91254467851
2022-04-01T16:00-07:00,52347.19420688499
2022-04-01T16:15-07:00,49571.29411262127
2022-04-01T16:30-07:00,49581.686417466684
2022-04-01T16:45-07:00,52380.1031722288
