t,v
2022-03-31T23:45-07:00,34388.42540860709
2022-04-01T00:00-07:00,34438.943557161176
2022-04-01T00:15-07:00,35831.512406446556
2022-04-01T00:30-07:00,35854.02906694495
2022-04-01T00:45-07:00,35658.884675958856
2022-04-01T01:00-07:00,34229.65408457994
2022-04-01T01:15-07:00,35681.40133645725
2022-04-01T01:30-07:00,35688.90688995672
2022-04-01T01:45-07:00,35748.95131795244
2022-04-01T02:00-07:00,35696.41244345618
2022-04-01T02:15-07:00,35726.43465745405
2022-04-01T02:30-07:00,34381.20853024221
2022-04-01T02:45-07:00,37131.705212661596
2022-04-01T03:00-07:00,34359.557895147605
2022-04-01T03:15-07:00,35741.445764452976
2022-04-01T03:30-07:00,34330.690381688124
2022-04-01T03:45-07:00,35703.91799695565
2022-04-01T04:00-07:00,34258.52159803942
2022-04-01T04:15-07:00,34511.11234080988
2022-04-01T04:30-07:00,34496.67858408014
2022-04-01T04:45-07:00,34460.59419225579
2022-04-01T05:00-07:00,34446.16043552605
2022-04-01T05:15-07:00,35966.61236943693
2022-04-01T05:30-07:00,37147.29366992971
2022-04-01T05:45-07:00,35756.456871451905
2022-04-01T06:00-07:00,35553.80692696635
2022-04-01T06:15-07:00,37209.647499002196
2022-04-01T06:30-07:00,35688.90688995672
2022-04-01T06:45-07:00,35711.42355045511
2022-04-01T07:00-07:00,35726.43465745405
2022-04-01T07:15-07:00,35613.85135496207
2022-04-01T07:30-07:00,37194.05904173407
2022-04-01T07:45-07:00,36999.203325882576
2022-04-01T08:00-07:00,37139.49944129565
2022-04-01T08:15-07:00,37147.29366992971
2022-04-01T08:30-07:00,35891.55683444228
2022-04-01T08:45-07:00,35793.98463894923
2022-04-01T09:00-07:00,35786.47908544976
2022-04-01T09:15-07:00,35726.43465745405
2022-04-01T09:30-07:00,37349.94361441527
2022-04-01T09:45-07:00,35981.62347643586
2022-04-01T10:00-07:00,37295.38401397685
2022-04-01T10:15-07:00,37123.910984027534
2022-04-01T10:30-07:00,38442.290323722045
2022-04-01T10:45-07:00,38409.95870864743
2022-04-01T11:00-07:00,38434.20741995339
2022-04-01T11:15-07:00,38490.787746333976
2022-04-01T11:30-07:00,37334.355157147154
2022-04-01T11:45-07:00,37240.82441353843
2022-04-01T12:00-07:00,38547.368072714555
2022-04-01T12:15-07:00,40124.97768327521
2022-04-01T12:30-07:00,37334.355157147154
2022-04-01T12:45-07:00,37357.73784304933
2022-04-01T13:00-07:00,37326.56092851309
2022-04-01T13:15-07:00,35944.095708938534
2022-04-01T13:30-07:00,37256.412870806555
2022-04-01T13:45-07:00,37279.795556708734
2022-04-01T14:00-07:00,37233.030184904375
2022-04-01T14:15-07:00,38539.2851689459
2022-04-01T14:30-07:00,38579.69968778917
2022-04-01T14:45-07:00,38547.368072714555
2022-04-01T15:00-07:00,37123.910984027534
2022-04-01T15:15-07:00,37170.67635583189
2022-04-01T15:30-07:00,37131.705212661596
2022-04-01T15:45-07:00,37100.528298125355
2022-04-01T16:00-07:00,37116.11675539347
2022-04-01T16:15-07:00,37123.910984027534
2022-04-01T16:30-07:00,37100.528298125355
2022-04-01T16:45-07:00,38490.787746333976
2022-04-01T17:00-07:00,38490.787746333976
2022-04-01T17:15-07:00,38523.11936140859
2022-04-01T17:30-07:00,38450.3732274907
2022-04-01T17:45-07:00,38393.792901110115
2022-04-01T18:00-07:00,35756.456871451905
2022-04-01T18:15-07:00,35606.3458014626
2022-04-01T18:30-07:00,35523.78471296849
2022-04-01T18:45-07:00,37061.55715495505
2022-04-01T19:00-07:00,35718.92910395458
2022-04-01T19:15-07:00,35598.84024796314
2022-04-01T19:30-07:00,35568.818033965275
2022-04-01T19:45-07:00,35576.32358746474
2022-04-01T20:00-07:00,35598.84024796314
2022-04-01T20:15-07:00,35628.862461961
2022-04-01T20:30-07:00,37045.968697686934
2022-04-01T20:45-07:00,35718.92910395458
2022-04-01T21:00-07:00,34438.943557161176
2022-04-01T21:15-07:00,35793.98463894923
2022-04-01T21:30-07:00,35778.9735319503
2022-04-01T21:45-07:00,35801.4901924487
2022-04-01T22:00-07:00,35861.534620444414
2022-04-01T22:15-07:00,35793.98463894923
2022-04-01T22:30-07:00,35801.4901924487
2022-04-01T22:45-07:00,34395.64228697195
2022-04-01T23:00-07:00,35771.46797845083
2022-04-01T23:15-07:00,35756.456871451905
2022-04-01T23:30-07:00,34395.64228697195
2022-04-01T23:45-07:00,34424.509800431435
2022-04-02T00:00-07:00,35824.00685294709
2022-04-02T00:15-07:00,35816.50129944763
2022-04-02T00:30-07:00,35801.4901924487
2022-04-02T00:45-07:00,35801.4901924487
2022-04-02T01:00-07:00,35854.02906694495
2022-04-02T01:15-07:00,34482.2448273504
