t,v
2022-03-31T23:45-07:00,15371.373566904596
2022-04-01T00:00-07:00,14359.278545015182
2022-04-01T00:15-07:00,14238.612338754552
2022-04-01T00:30-07:00,14600.610957536446
2022-04-01T00:45-07:00,15731.640134878924
2022-04-01T01:00-07:00,14460.892192392557
2022-04-01T01:15-07:00,15251.284710913154
2022-04-01T01:30-07:00,14290.573862981617
2022-04-01T01:45-07:00,14410.66271897306
2022-04-01T02:00-07:00,14410.66271897306
2022-04-01T02:15-07:00,14290.573862981617
2022-04-01T02:30-07:00,14891.018142938829
2022-04-01T02:45-07:00,14290.573862981617
2022-04-01T03:00-07:00,14650.840430955945
2022-04-01T03:15-07:00,14410.66271897306
2022-04-01T03:30-07:00,15251.284710913154
2022-04-01T03:45-07:00,15011.10699893027
2022-04-01T04:00-07:00,14530.751574964503
2022-04-01T04:15-07:00,14600.610957536446
2022-04-01T04:30-07:00,14962.609576318342
2022-04-01T04:45-07:00,15324.608195100238
2022-04-01T05:00-07:00,14841.94337005771
2022-04-01T05:15-07:00,16048.605432664028
2022-04-01T05:30-07:00,16452.173270827578
2022-04-01T05:45-07:00,17532.972974750555
2022-04-01T06:00-07:00,17807.21435261563
2022-04-01T06:15-07:00,16048.605432664028
2022-04-01T06:30-07:00,16091.90670285325
2022-04-01T06:45-07:00,15611.551278887482
2022-04-01T07:00-07:00,17052.617550784787
2022-04-01T07:15-07:00,16612.0992953931
2022-04-01T07:30-07:00,16410.604051445924
2022-04-01T07:45-07:00,16134.053272504092
2022-04-01T08:00-07:00,16332.084414836134
2022-04-01T08:15-07:00,16572.26212681902
2022-04-01T08:30-07:00,16893.26887648845
2022-04-01T08:45-07:00,18013.328398716323
2022-04-01T09:00-07:00,18733.86153466498
2022-04-01T09:15-07:00,17653.061830741997
2022-04-01T09:30-07:00,17979.264732834137
2022-04-01T09:45-07:00,18186.53347947321
2022-04-01T10:00-07:00,18703.26197039793
2022-04-01T10:15-07:00,20535.19437453661
2022-04-01T10:30-07:00,20174.927806562286
2022-04-01T10:45-07:00,18733.86153466498
2022-04-01T11:00-07:00,19574.483526605072
2022-04-01T11:15-07:00,19334.30581462219
2022-04-01T11:30-07:00,19909.924033004245
2022-04-01T11:45-07:00,19065.260589179823
2022-04-01T12:00-07:00,19214.216958630746
2022-04-01T12:15-07:00,19185.926795440453
2022-04-01T12:30-07:00,19427.259207961717
2022-04-01T12:45-07:00,19185.926795440453
2022-04-01T13:00-07:00,19306.593001701087
2022-04-01T13:15-07:00,19185.926795440453
2022-04-01T13:30-07:00,19789.257826743615
2022-04-01T13:45-07:00,18944.594382919193
2022-04-01T14:00-07:00,20392.588858046773
2022-04-01T14:15-07:00,19574.483526605072
2022-04-01T14:30-07:00,22202.58195195625
2022-04-01T14:45-07:00,19574.483526605072
2022-04-01T15:00-07:00,19334.30581462219
