t,v
2022-03-31T23:45-07:00,44910.15450366728
2022-04-01T00:00-07:00,43910.01536590029
2022-04-01T00:15-07:00,44811.24762027305
2022-04-01T00:30-07:00,43523.447952392096
2022-04-01T00:45-07:00,44487.42717970194
2022-04-01T01:00-07:00,43768.25195802669
2022-04-01T01:15-07:00,44184.22057803792
2022-04-01T01:30-07:00,42626.38058402043
2022-04-01T01:45-07:00,44962.395933318345
2022-04-01T02:00-07:00,45709.96731713552
2022-04-01T02:15-07:00,45739.9263316444
2022-04-01T02:30-07:00,44206.18254463583
2022-04-01T02:45-07:00,44620.93148858452
2022-04-01T03:00-07:00,43868.0613968787
2022-04-01T03:15-07:00,43898.64901762447
2022-04-01T03:30-07:00,44877.63317177996
2022-04-01T03:45-07:00,42715.78886091419
2022-04-01T04:00-07:00,44891.57325805693
2022-04-01T04:15-07:00,44342.432931005074
2022-04-01T04:30-07:00,45280.36465943659
2022-04-01T04:45-07:00,43534.97453784339
2022-04-01T05:00-07:00,44319.038735843176
2022-04-01T05:15-07:00,45833.30607816148
2022-04-01T05:30-07:00,44588.93068314487
2022-04-01T05:45-07:00,45625.87168249077
2022-04-01T06:00-07:00,42488.17573999814
2022-04-01T06:15-07:00,45001.38431970527
2022-04-01T06:30-07:00,42486.447031339594
2022-04-01T06:45-07:00,44024.53981471799
2022-04-01T07:00-07:00,42513.039554909665
2022-04-01T07:15-07:00,43239.72566118729
2022-04-01T07:30-07:00,51284.08314850928
2022-04-01T07:45-07:00,43290.918819237944
2022-04-01T08:00-07:00,45282.953562729504
2022-04-01T08:15-07:00,45732.35339223185
2022-04-01T08:30-07:00,44712.023218745104
2022-04-01T08:45-07:00,48057.65982192266
2022-04-01T09:00-07:00,44458.97193280444
2022-04-01T09:15-07:00,46114.27688086384
2022-04-01T09:30-07:00,45095.90853444098
2022-04-01T09:45-07:00,45463.522479213134
2022-04-01T10:00-07:00,48569.90397885053
2022-04-01T10:15-07:00,48882.209525825754
2022-04-01T10:30-07:00,47688.782103134356
2022-04-01T10:45-07:00,49699.95795057438
2022-04-01T11:00-07:00,50925.128020437674
2022-04-01T11:15-07:00,48740.533222047125
2022-04-01T11:30-07:00,48770.43473011226
2022-04-01T11:45-07:00,50665.663475481735
2022-04-01T12:00-07:00,48258.77298635821
2022-04-01T12:15-07:00,50239.644649998096
2022-04-01T12:30-07:00,51184.23639905446
2022-04-01T12:45-07:00,48581.27381985352
2022-04-01T13:00-07:00,48147.93887081865
2022-04-01T13:15-07:00,54020.989643660076
2022-04-01T13:30-07:00,47733.42940466742
2022-04-01T13:45-07:00,50353.45067506108
2022-04-01T14:00-07:00,50295.69821736197
2022-04-01T14:15-07:00,49227.86247556573
2022-04-01T14:30-07:00,52052.08872565715
2022-04-01T14:45-07:00,49772.05448697029
2022-04-01T15:00-07:00,51346.61919446193
2022-04-01T15:15-07:00,46161.64476300198
2022-04-01T15:30-07:00,51774.74023925303
2022-04-01T15:45-07:00,50057.53776451445
2022-04-01T16:00-07:00,51230.319362581984
2022-04-01T16:15-07:00,52026.70613673834
2022-04-01T16:30-07:00,49410.99194297313
2022-04-01T16:45-07:00,52067.868450589245
2022-04-01T17:00-07:00,49205.60418344059
2022-04-01T17:15-07:00,50789.06184435435
2022-04-01T17:30-07:00,49138.77019210836
2022-04-01T17:45-07:00,49238.38964334695
2022-04-01T18:00-07:00,47239.493804775884
2022-04-01T18:15-07:00,49901.603199990226
2022-04-01T18:30-07:00,50736.96068415625
2022-04-01T18:45-07:00,49128.740508710915
2022-04-01T19:00-07:00,49439.49267832304
2022-04-01T19:15-07:00,46547.27798255661
2022-04-01T19:30-07:00,46396.74950928504
2022-04-01T19:45-07:00,45652.26104654069
2022-04-01T20:00-07:00,47871.362281331
2022-04-01T20:15-07:00,45180.604695593676
2022-04-01T20:30-07:00,45374.538585553666
2022-04-01T20:45-07:00,44084.171205630184
2022-04-01T21:00-07:00,47023.932359066595
2022-04-01T21:15-07:00,45081.78418470631
2022-04-01T21:30-07:00,45881.99990346875
2022-04-01T21:45-07:00,45717.19358735817
2022-04-01T22:00-07:00,44858.669101556174
2022-04-01T22:15-07:00,44946.55317617956
2022-04-01T22:30-07:00,44808.74222793369
2022-04-01T22:45-07:00,45217.78512869203
2022-04-01T23:00-07:00,43042.846946878344
2022-04-01T23:15-07:00,44849.418059586416
2022-04-01T23:30-07:00,42903.04290868397
2022-04-01T23:45-07:00,45579.283577129514
2022-04-02T00:00-07:00,42956.92889299598
2022-04-02T00:15-07:00,44954.66650848071
2022-04-02T00:30-07:00,44163.82780865404
2022-04-02T00:45-07:00,45058.39920618966
2022-04-02T01:00-07:00,44764.31445514879
2022-04-02T01:15-07:00,44280.69049480404
2022-04-02T01:30-07:00,44841.01267838251
2022-04-02T01:45-07:00,44753.222918996405
2022-04-02T02:00-07:00,44327.105110862656
2022-04-02T02:15-07:00,42647.398173958776
2022-04-02T02:30-07:00,44300.36720253781
2022-04-02T02:45-07:00,44450.71593883004
2022-04-02T03:00-07:00,43654.134705094155
2022-04-02T03:15-07:00,43149.46873267348
2022-04-02T03:30-07:00,43826.1830174049
2022-04-02T03:45-07:00,43218.24304622893
2022-04-02T04:00-07:00,44212.92059706711
2022-04-02T04:15-07:00,44791.14506756152
2022-04-02T04:30-07:00,44807.94805141954
2022-04-02T04:45-07:00,44410.664376391825
2022-04-02T05:00-07:00,44362.89081257047
2022-04-02T05:15-07:00,44263.44367328802
2022-04-02T05:30-07:00,42552.01945689357
2022-04-02T05:45-07:00,43916.29054304941
2022-04-02T06:00-07:00,42556.329135947046
2022-04-02T06:15-07:00,46326.35567981883
2022-04-02T06:30-07:00,42744.89850474388
2022-04-02T06:45-07:00,44851.833439550566
2022-04-02T07:00-07:00,42648.59377414465
2022-04-02T07:15-07:00,43580.189978804076
2022-04-02T07:30-07:00,44990.82086664103
2022-04-02T07:45-07:00,43311.54659251021
2022-04-02T08:00-07:00,44996.30856995661
2022-04-02T08:15-07:00,41869.82541208023
2022-04-02T08:30-07:00,44676.16088674714
2022-04-02T08:45-07:00,42447.52156678231
2022-04-02T09:00-07:00,44464.222523359225
2022-04-02T09:15-07:00,43025.26426707389
2022-04-02T09:30-07:00,44351.782913473864
2022-04-02T09:45-07:00,44364.82703940777
2022-04-02T10:00-07:00,45308.071085032076
2022-04-02T10:15-07:00,46460.24318861231
2022-04-02T10:30-07:00,46977.9358242576
2022-04-02T10:45-07:00,49121.629977509634
2022-04-02T11:00-07:00,46250.37044463852
2022-04-02T11:15-07:00,47967.716957455814
2022-04-02T11:30-07:00,47435.06378946368
2022-04-02T11:45-07:00,47503.10736505539
2022-04-02T12:00-07:00,45940.77994083409
2022-04-02T12:15-07:00,46394.73891883561
2022-04-02T12:30-07:00,48445.91279819944
2022-04-02T12:45-07:00,49369.54226732821
2022-04-02T13:00-07:00,52169.22558313682
2022-04-02T13:15-07:00,49453.19105323497
2022-04-02T13:30-07:00,49488.115092834974
2022-04-02T13:45-07:00,47765.55688039227
2022-04-02T14:00-07:00,47210.495617723594
2022-04-02T14:15-07:00,46250.301136978065
2022-04-02T14:30-07:00,51102.2692936859
2022-04-02T14:45-07:00,46017.49443042669
2022-04-02T15:00-07:00,48488.366404694636
2022-04-02T15:15-07:00,47298.29424299293
2022-04-02T15:30-07:00,48757.08168155764
2022-04-02T15:45-07:00,48835.13075582822
2022-04-02T16:00-07:00,46227.989400369326
2022-04-02T16:15-07:00,46473.03879393121
2022-04-02T16:30-07:00,44674.27458598551
2022-04-02T16:45-07:00,46989.89041738462
2022-04-02T17:00-07:00,45921.21768765046
2022-04-02T17:15-07:00,45605.120762661194
2022-04-02T17:30-07:00,44355.72498436485
2022-04-02T17:45-07:00,45284.88126620045
2022-04-02T18:00-07:00,45258.30734827014
2022-04-02T18:15-07:00,45027.46686438038
2022-04-02T18:30-07:00,45900.10280124869
2022-04-02T18:45-07:00,47594.75073985092
2022-04-02T19:00-07:00,46458.13996536775
2022-04-02T19:15-07:00,43271.65851232615
2022-04-02T19:30-07:00,45108.570890104915
2022-04-02T19:45-07:00,44315.441109565945
2022-04-02T20:00-07:00,44806.8912179952
2022-04-02T20:15-07:00,44104.5486297949
2022-04-02T20:30-07:00,43750.606582078166
2022-04-02T20:45-07:00,45576.97976381004
2022-04-02T21:00-07:00,46297.93923939618
2022-04-02T21:15-07:00,45376.50140273336
2022-04-02T21:30-07:00,48410.60059253859
2022-04-02T21:45-07:00,49799.724535778434
2022-04-02T22:00-07:00,50308.7407053599
2022-04-02T22:15-07:00,50289.84911898926
2022-04-02T22:30-07:00,46919.79442175711
2022-04-02T22:45-07:00,46796.1167750836
2022-04-02T23:00-07:00,45953.24769086755
2022-04-02T23:15-07:00,52210.1853008211
2022-04-02T23:30-07:00,44548.694066023585
2022-04-02T23:45-07:00,46273.92713870085
2022-04-03T00:00-07:00,44485.27643268095
2022-04-03T00:15-07:00,45574.77689673341
2022-04-03T00:30-07:00,45566.56616734971
2022-04-03T00:45-07:00,47396.566215558865
2022-04-03T01:00-07:00,46511.01480826385
2022-04-03T01:15-07:00,44220.96706779163
2022-04-03T01:30-07:00,45491.373122027784
2022-04-03T01:45-07:00,42763.333541447784
2022-04-03T02:00-07:00,45407.28330194
2022-04-03T02:15-07:00,44148.53286979032
2022-04-03T02:30-07:00,44809.15528429239
2022-04-03T02:45-07:00,43047.957781612386
2022-04-03T03:00-07:00,44600.11153477836
2022-04-03T03:15-07:00,42983.927845226564
2022-04-03T03:30-07:00,44124.34077116102
2022-04-03T03:45-07:00,46187.46882251903
2022-04-03T04:00-07:00,45005.57576435325
2022-04-03T04:15-07:00,44218.35653661093
2022-04-03T04:30-07:00,44061.19927695935
2022-04-03T04:45-07:00,45465.210206198164
2022-04-03T05:00-07:00,43003.21073498474
2022-04-03T05:15-07:00,44057.12596896233
2022-04-03T05:30-07:00,43640.07982801221
2022-04-03T05:45-07:00,45158.341014329846
2022-04-03T06:00-07:00,43698.042775694346
2022-04-03T06:15-07:00,45406.05949731788
2022-04-03T06:30-07:00,45929.549781362504
2022-04-03T06:45-07:00,46669.09032628179
2022-04-03T07:00-07:00,43857.38180512116
2022-04-03T07:15-07:00,44751.12678232856
2022-04-03T07:30-07:00,43870.5406036213
2022-04-03T07:45-07:00,42019.25827482877
2022-04-03T08:00-07:00,43356.11773640269
2022-04-03T08:15-07:00,41342.76856677069
2022-04-03T08:30-07:00,43581.15687123227
2022-04-03T08:45-07:00,41868.304747613394
2022-04-03T09:00-07:00,44276.135356570056
2022-04-03T09:15-07:00,43234.14697158427
2022-04-03T09:30-07:00,44650.02956853043
2022-04-03T09:45-07:00,44050.7954361588
2022-04-03T10:00-07:00,42846.49764142571
2022-04-03T10:15-07:00,43635.79475499943
2022-04-03T10:30-07:00,42442.925234649185
2022-04-03T10:45-07:00,45400.52189319852
2022-04-03T11:00-07:00,44300.902296896544
2022-04-03T11:15-07:00,47260.35542705679
2022-04-03T11:30-07:00,45090.665565208124
2022-04-03T11:45-07:00,47083.59447373512
2022-04-03T12:00-07:00,44136.06115025013
2022-04-03T12:15-07:00,46077.215940851485
2022-04-03T12:30-07:00,44773.03166619788
2022-04-03T12:45-07:00,45115.411415696486
2022-04-03T13:00-07:00,46369.209269559666
2022-04-03T13:15-07:00,46038.9628879647
2022-04-03T13:30-07:00,46467.437678150454
2022-04-03T13:45-07:00,45912.72264359824
2022-04-03T14:00-07:00,45663.83532461593
2022-04-03T14:15-07:00,46770.7490192081
2022-04-03T14:30-07:00,46249.76500090725
2022-04-03T14:45-07:00,47441.85067529996
2022-04-03T15:00-07:00,46158.081343300284
2022-04-03T15:15-07:00,44675.18452909908
2022-04-03T15:30-07:00,44984.19046713236
2022-04-03T15:45-07:00,45048.043964796234
2022-04-03T16:00-07:00,47424.49602190748
2022-04-03T16:15-07:00,44319.41997450863
2022-04-03T16:30-07:00,46305.0565561499
2022-04-03T16:45-07:00,44305.34064965616
2022-04-03T17:00-07:00,48725.77339082303
2022-04-03T17:15-07:00,46768.08142964936
2022-04-03T17:30-07:00,46121.23156692756
2022-04-03T17:45-07:00,46907.86772897853
2022-04-03T18:00-07:00,46164.419673857534
2022-04-03T18:15-07:00,45081.428199684495
2022-04-03T18:30-07:00,45550.128961720045
2022-04-03T18:45-07:00,47662.072688761895
2022-04-03T19:00-07:00,45770.198145911
2022-04-03T19:15-07:00,47029.52907778572
2022-04-03T19:30-07:00,48815.67740859915
2022-04-03T19:45-07:00,46703.995025831304
2022-04-03T20:00-07:00,44561.4985520684
2022-04-03T20:15-07:00,46044.01705517272
2022-04-03T20:30-07:00,45859.768125082934
2022-04-03T20:45-07:00,45774.74995271205
2022-04-03T21:00-07:00,43215.59129025046
2022-04-03T21:15-07:00,46163.703356232436
2022-04-03T21:30-07:00,44731.87539924921
2022-04-03T21:45-07:00,45564.24905006754
2022-04-03T22:00-07:00,44335.349325973046
2022-04-03T22:15-07:00,45443.56182135781
2022-04-03T22:30-07:00,45616.513680990436
2022-04-03T22:45-07:00,43078.64641195354
2022-04-03T23:00-07:00,46572.041546943976
2022-04-03T23:15-07:00,43333.011729413905
2022-04-03T23:30-07:00,45277.36772740177
2022-04-03T23:45-07:00,43452.59327540255
2022-04-04T00:00-07:00,44639.71805725264
2022-04-04T00:15-07:00,42951.50624555027
2022-04-04T00:30-07:00,44858.32591227225
2022-04-04T00:45-07:00,45646.38178701454
2022-04-04T01:00-07:00,44285.144054162316
2022-04-04T01:15-07:00,44749.63245793817
2022-04-04T01:30-07:00,43216.50235215345
2022-04-04T01:45-07:00,44083.4092255873
2022-04-04T02:00-07:00,42231.54262471606
2022-04-04T02:15-07:00,43776.47656978731
2022-04-04T02:30-07:00,43814.76681712847
2022-04-04T02:45-07:00,44042.71694772762
2022-04-04T03:00-07:00,44386.120173426505
2022-04-04T03:15-07:00,43999.03076763769
2022-04-04T03:30-07:00,44730.24910461425
2022-04-04T03:45-07:00,44958.46050288623
2022-04-04T04:00-07:00,43890.931780315004
2022-04-04T04:15-07:00,43250.204350171654
2022-04-04T04:30-07:00,43730.24912868956
2022-04-04T04:45-07:00,43797.907526555195
2022-04-04T05:00-07:00,43948.498844137386
2022-04-04T05:15-07:00,43677.54384020477
2022-04-04T05:30-07:00,43968.63769959748
2022-04-04T05:45-07:00,42587.77420239172
2022-04-04T06:00-07:00,43975.849960595646
2022-04-04T06:15-07:00,44706.93419175791
2022-04-04T06:30-07:00,45059.7675433174
2022-04-04T06:45-07:00,44158.239454116985
