t,v
2022-03-31T23:45-07:00,22105.587106732393
2022-04-01T00:00-07:00,22151.775128267564
2022-04-01T00:15-07:00,22151.775128267564
2022-04-01T00:30-07:00,22170.250336881632
2022-04-01T00:45-07:00,22050.161480890187
2022-04-01T01:00-07:00,22013.211063662053
2022-04-01T01:15-07:00,22059.399085197223
2022-04-01T01:30-07:00,22059.399085197223
2022-04-01T01:45-07:00,22096.349502425357
2022-04-01T02:00-07:00,22077.874293811292
2022-04-01T02:15-07:00,23477.371346326945
2022-04-01T02:30-07:00,22105.587106732393
2022-04-01T02:45-07:00,22105.587106732393
2022-04-01T03:00-07:00,22096.349502425357
2022-04-01T03:15-07:00,22096.349502425357
2022-04-01T03:30-07:00,22068.636689504256
2022-04-01T03:45-07:00,22077.874293811292
2022-04-01T04:00-07:00,22031.68627227612
2022-04-01T04:15-07:00,20810.59045294006
2022-04-01T04:30-07:00,20810.59045294006
2022-04-01T04:45-07:00,22170.250336881632
2022-04-01T05:00-07:00,24920.74701930101
2022-04-01T05:15-07:00,30573.006154667444
2022-04-01T05:30-07:00,31803.339578310537
2022-04-01T05:45-07:00,31790.060522119176
2022-04-01T06:00-07:00,30217.358388846635
2022-04-01T06:15-07:00,30471.39250729007
2022-04-01T06:30-07:00,30357.077153990525
2022-04-01T06:45-07:00,30369.778859912698
2022-04-01T07:00-07:00,31763.50240973645
2022-04-01T07:15-07:00,30280.866918457494
2022-04-01T07:30-07:00,31843.176746884623
2022-04-01T07:45-07:00,33019.81659549308
2022-04-01T08:00-07:00,33213.806285940795
2022-04-01T08:15-07:00,35951.601262438
2022-04-01T08:30-07:00,34669.88366483703
2022-04-01T08:45-07:00,33158.38066009859
2022-04-01T09:00-07:00,33158.38066009859
2022-04-01T09:15-07:00,35891.55683444228
2022-04-01T09:30-07:00,36116.723439426234
2022-04-01T09:45-07:00,34756.48620521547
2022-04-01T10:00-07:00,33283.08831824355
2022-04-01T10:15-07:00,35876.54572744335
2022-04-01T10:30-07:00,34482.2448273504
2022-04-01T10:45-07:00,35816.50129944763
2022-04-01T11:00-07:00,37178.470584465955
2022-04-01T11:15-07:00,34453.37731389092
2022-04-01T11:30-07:00,36071.69011842944
2022-04-01T11:45-07:00,40133.34926217846
2022-04-01T12:00-07:00,40066.37663095246
2022-04-01T12:15-07:00,34713.18493502625
2022-04-01T12:30-07:00,34684.31742156677
2022-04-01T12:45-07:00,37459.06281529211
