t,v
2022-03-31T23:45-07:00,31804.78295398351
2022-04-01T00:00-07:00,31826.433589078122
2022-04-01T00:15-07:00,30794.85299560356
2022-04-01T00:30-07:00,31887.055367343033
2022-04-01T00:45-07:00,31709.520159567222
2022-04-01T01:00-07:00,31674.879143415845
2022-04-01T01:15-07:00,30673.46510150644
2022-04-01T01:30-07:00,31731.170794661833
2022-04-01T01:45-07:00,30711.137206571064
2022-04-01T02:00-07:00,30686.022469861313
2022-04-01T02:15-07:00,30706.95141711944
2022-04-01T02:30-07:00,31774.472064851056
2022-04-01T02:45-07:00,30727.88036437756
2022-04-01T03:00-07:00,30698.57983821619
2022-04-01T03:15-07:00,30727.88036437756
2022-04-01T03:30-07:00,30690.208259312938
2022-04-01T03:45-07:00,31761.48168379429
2022-04-01T04:00-07:00,30614.864049183692
2022-04-01T04:15-07:00,30840.89667957143
2022-04-01T04:30-07:00,30853.454047926305
2022-04-01T04:45-07:00,31869.734859267344
2022-04-01T05:00-07:00,30782.295627248684
2022-04-01T05:15-07:00,31982.31816175932
2022-04-01T05:30-07:00,32896.2636378865
2022-04-01T05:45-07:00,32842.57006285186
2022-04-01T06:00-07:00,31622.91761918878
2022-04-01T06:15-07:00,32976.80400043845
2022-04-01T06:30-07:00,31765.81181081321
2022-04-01T06:45-07:00,32824.672204506984
2022-04-01T07:00-07:00,32833.62113367942
2022-04-01T07:15-07:00,32717.285054437714
2022-04-01T07:30-07:00,31843.75409715381
2022-04-01T07:45-07:00,32748.606306541253
2022-04-01T08:00-07:00,32923.110425403815
2022-04-01T08:15-07:00,32878.36577954162
2022-04-01T08:30-07:00,31891.385494361955
2022-04-01T08:45-07:00,32864.94238578296
2022-04-01T09:00-07:00,31787.462445907822
2022-04-01T09:15-07:00,32802.299881575884
2022-04-01T09:30-07:00,31913.036129456566
2022-04-01T09:45-07:00,31934.686764551177
2022-04-01T10:00-07:00,31865.404732248422
2022-04-01T10:15-07:00,32838.095598265645
2022-04-01T10:30-07:00,31731.170794661833
2022-04-01T10:45-07:00,31709.520159567222
2022-04-01T11:00-07:00,32793.350952403445
2022-04-01T11:15-07:00,31735.500921680756
2022-04-01T11:30-07:00,35109.102882123036
2022-04-01T11:45-07:00,35094.81346296059
2022-04-01T12:00-07:00,36035.60572660509
2022-04-01T12:15-07:00,35056.70834519408
2022-04-01T12:30-07:00,35037.65578631082
2022-04-01T12:45-07:00,33994.38384988517
2022-04-01T13:00-07:00,33985.14624557814
2022-04-01T13:15-07:00,32860.467921196745
2022-04-01T13:30-07:00,32896.2636378865
2022-04-01T13:45-07:00,32838.095598265645
2022-04-01T14:00-07:00,32820.19773992077
2022-04-01T14:15-07:00,32784.40202323101
2022-04-01T14:30-07:00,32802.299881575884
2022-04-01T14:45-07:00,32784.40202323101
2022-04-01T15:00-07:00,31718.180413605067
2022-04-01T15:15-07:00,32766.50416488613
2022-04-01T15:30-07:00,32753.080771127472
2022-04-01T15:45-07:00,32766.50416488613
2022-04-01T16:00-07:00,31731.170794661833
2022-04-01T16:15-07:00,31722.51054062399
2022-04-01T16:30-07:00,31770.141937832133
2022-04-01T16:45-07:00,32815.723275334545
2022-04-01T17:00-07:00,32842.57006285186
2022-04-01T17:15-07:00,32833.62113367942
2022-04-01T17:30-07:00,32829.14666909321
2022-04-01T17:45-07:00,31726.84066764291
2022-04-01T18:00-07:00,31804.78295398351
2022-04-01T18:15-07:00,32726.233983610153
2022-04-01T18:30-07:00,32618.846833540883
2022-04-01T18:45-07:00,32815.723275334545
2022-04-01T19:00-07:00,31778.802191869978
2022-04-01T19:15-07:00,31674.879143415845
