t,v
2022-03-31T23:45-07:00,30702.765627667814
2022-04-01T00:00-07:00,30736.25194328081
2022-04-01T00:15-07:00,30752.995101087312
2022-04-01T00:30-07:00,30799.03878505518
2022-04-01T00:45-07:00,29571.303437623443
2022-04-01T01:00-07:00,29534.930370664497
2022-04-01T01:15-07:00,29579.3863413921
2022-04-01T01:30-07:00,30648.35036479669
2022-04-01T01:45-07:00,30681.836680409688
2022-04-01T02:00-07:00,29591.51069704508
2022-04-01T02:15-07:00,31731.170794661833
2022-04-01T02:30-07:00,30694.394048764563
2022-04-01T02:45-07:00,30702.765627667814
2022-04-01T03:00-07:00,30673.46510150644
2022-04-01T03:15-07:00,30690.208259312938
2022-04-01T03:30-07:00,29599.593600813736
2022-04-01T03:45-07:00,29603.635052698064
2022-04-01T04:00-07:00,30585.56352302232
2022-04-01T04:15-07:00,30807.410363958432
2022-04-01T04:30-07:00,30819.967732313307
2022-04-01T04:45-07:00,30782.295627248684
2022-04-01T05:00-07:00,30727.88036437756
2022-04-01T05:15-07:00,30886.940363539303
2022-04-01T05:30-07:00,31787.462445907822
2022-04-01T05:45-07:00,31744.1611757186
2022-04-01T06:00-07:00,30526.96247069957
2022-04-01T06:15-07:00,31861.0746052295
2022-04-01T06:30-07:00,30656.72194369994
2022-04-01T06:45-07:00,31718.180413605067
2022-04-01T07:00-07:00,31726.84066764291
2022-04-01T07:15-07:00,29526.847466895844
2022-04-01T07:30-07:00,30740.437732732436
2022-04-01T07:45-07:00,30589.749312473945
2022-04-01T08:00-07:00,30740.437732732436
2022-04-01T08:15-07:00,31778.802191869978
2022-04-01T08:30-07:00,31878.39511330519
2022-04-01T08:45-07:00,30694.394048764563
2022-04-01T09:00-07:00,30686.022469861313
2022-04-01T09:15-07:00,30652.536154248315
2022-04-01T09:30-07:00,31887.055367343033
2022-04-01T09:45-07:00,31904.375875418722
2022-04-01T10:00-07:00,30782.295627248684
2022-04-01T10:15-07:00,31770.141937832133
2022-04-01T10:30-07:00,30652.536154248315
2022-04-01T10:45-07:00,30623.235628086943
2022-04-01T11:00-07:00,30652.536154248315
2022-04-01T11:15-07:00,30652.536154248315
2022-04-01T11:30-07:00,34008.240256345714
2022-04-01T11:45-07:00,33985.14624557814
2022-04-01T12:00-07:00,33883.532598200756
2022-04-01T12:15-07:00,33985.14624557814
