t,v
2022-03-31T23:45-07:00,100880.9898857725
2022-04-01T00:00-07:00,102426.55655639313
2022-04-01T00:15-07:00,103849.14761967637
2022-04-01T00:30-07:00,105442.63436263974
2022-04-01T00:45-07:00,100594.04680198526
2022-04-01T01:00-07:00,101886.15670443165
2022-04-01T01:15-07:00,103469.8284928188
2022-04-01T01:30-07:00,100635.03867109772
2022-04-01T01:45-07:00,103638.41477142216
2022-04-01T02:00-07:00,102094.00280133991
2022-04-01T02:15-07:00,103596.26820177131
2022-04-01T02:30-07:00,102218.71045948486
2022-04-01T02:45-07:00,99379.30183561028
2022-04-01T03:00-07:00,100758.01427843512
2022-04-01T03:15-07:00,102177.14124010321
2022-04-01T03:30-07:00,102094.00280133991
2022-04-01T03:45-07:00,100676.0305402102
2022-04-01T04:00-07:00,104716.32772399919
2022-04-01T04:15-07:00,102634.4026533014
2022-04-01T04:30-07:00,102675.97187268305
2022-04-01T04:45-07:00,101085.94923133482
2022-04-01T05:00-07:00,102426.55655639313
2022-04-01T05:15-07:00,107170.64371832428
2022-04-01T05:30-07:00,100962.97362399743
2022-04-01T05:45-07:00,102301.84889824818
2022-04-01T06:00-07:00,100430.07932553541
2022-04-01T06:15-07:00,104059.88046793059
2022-04-01T06:30-07:00,103680.561341073
2022-04-01T06:45-07:00,102301.84889824818
2022-04-01T07:00-07:00,100880.9898857725
2022-04-01T07:15-07:00,103343.38878386626
2022-04-01T07:30-07:00,102468.12577577478
2022-04-01T07:45-07:00,125891.2261967979
2022-04-01T08:00-07:00,102343.41811762983
2022-04-01T08:15-07:00,103849.14761967637
2022-04-01T08:30-07:00,104059.88046793059
2022-04-01T08:45-07:00,106477.82339529674
2022-04-01T09:00-07:00,107809.7704663172
2022-04-01T09:15-07:00,104929.94732359935
2022-04-01T09:30-07:00,106910.83609718896
2022-04-01T09:45-07:00,109939.61560935773
2022-04-01T10:00-07:00,105442.63436263974
2022-04-01T10:15-07:00,105058.11908335944
2022-04-01T10:30-07:00,106434.52212510751
2022-04-01T10:45-07:00,103469.8284928188
2022-04-01T11:00-07:00,107722.01322540038
2022-04-01T11:15-07:00,106347.91958472907
2022-04-01T11:30-07:00,108336.31391181814
2022-04-01T11:45-07:00,106780.93228662129
2022-04-01T12:00-07:00,107897.52770723403
2022-04-01T12:15-07:00,130719.02914776155
2022-04-01T12:30-07:00,130772.145372527
2022-04-01T12:45-07:00,105314.46260287965
2022-04-01T13:00-07:00,112293.47265684383
2022-04-01T13:15-07:00,109406.14396062652
2022-04-01T13:30-07:00,106607.7272058644
2022-04-01T13:45-07:00,107853.64908677562
2022-04-01T14:00-07:00,109272.77604844372
2022-04-01T14:15-07:00,109050.49619480572
2022-04-01T14:30-07:00,107765.89184585879
2022-04-01T14:45-07:00,106088.11196359374
2022-04-01T15:00-07:00,107502.62012310833
2022-04-01T15:15-07:00,127461.61892899369
2022-04-01T15:30-07:00,107590.37736402515
2022-04-01T15:45-07:00,106088.11196359374
2022-04-01T16:00-07:00,107634.25598448356
2022-04-01T16:15-07:00,106174.71450397218
2022-04-01T16:30-07:00,125993.99454471366
2022-04-01T16:45-07:00,104972.67124351938
2022-04-01T17:00-07:00,103554.12163212047
2022-04-01T17:15-07:00,107853.64908677562
2022-04-01T17:30-07:00,104929.94732359935
2022-04-01T17:45-07:00,103469.8284928188
2022-04-01T18:00-07:00,102218.71045948486
2022-04-01T18:15-07:00,104673.60380407916
2022-04-01T18:30-07:00,103090.5093659612
2022-04-01T18:45-07:00,100717.02240932266
2022-04-01T19:00-07:00,100758.01427843512
2022-04-01T19:15-07:00,103343.38878386626
2022-04-01T19:30-07:00,103259.09564456457
2022-04-01T19:45-07:00,100430.07932553541
2022-04-01T20:00-07:00,101844.58748505
2022-04-01T20:15-07:00,104844.49948375928
2022-04-01T20:30-07:00,100553.0549328728
2022-04-01T20:45-07:00,102177.14124010321
2022-04-01T21:00-07:00,105229.01476303958
2022-04-01T21:15-07:00,102384.98733701148
2022-04-01T21:30-07:00,102301.84889824818
2022-04-01T21:45-07:00,106607.7272058644
2022-04-01T22:00-07:00,105357.18652279968
2022-04-01T22:15-07:00,99460.13087329683
2022-04-01T22:30-07:00,105100.84300327949
2022-04-01T22:45-07:00,105058.11908335944
2022-04-01T23:00-07:00,107853.64908677562
2022-04-01T23:15-07:00,106434.52212510751
2022-04-01T23:30-07:00,105058.11908335944
2022-04-01T23:45-07:00,105186.29084311954
2022-04-02T00:00-07:00,108073.04218906768
2022-04-02T00:15-07:00,103764.85448037469
2022-04-02T00:30-07:00,103764.85448037469
2022-04-02T00:45-07:00,102343.41811762983
2022-04-02T01:00-07:00,125137.20674523625
2022-04-02T01:15-07:00,103891.29418932721
2022-04-02T01:30-07:00,103891.29418932721
2022-04-02T01:45-07:00,100758.01427843512
2022-04-02T02:00-07:00,100921.98175488497
2022-04-02T02:15-07:00,102384.98733701148
2022-04-02T02:30-07:00,102384.98733701148
2022-04-02T02:45-07:00,100962.97362399743
2022-04-02T03:00-07:00,105015.39516343942
2022-04-02T03:15-07:00,99500.5453921401
2022-04-02T03:30-07:00,102260.27967886651
2022-04-02T03:45-07:00,100880.9898857725
2022-04-02T04:00-07:00,100839.99801666004
2022-04-02T04:15-07:00,100799.00614754758
2022-04-02T04:30-07:00,99581.37442982665
2022-04-02T04:45-07:00,102426.55655639313
2022-04-02T05:00-07:00,100799.00614754758
2022-04-02T05:15-07:00,102010.8643625766
2022-04-02T05:30-07:00,100512.06306376033
2022-04-02T05:45-07:00,109006.04022407811
2022-04-02T06:00-07:00,102010.8643625766
2022-04-02T06:15-07:00,101886.15670443165
2022-04-02T06:30-07:00,103174.8025052629
2022-04-02T06:45-07:00,101969.29514319495
2022-04-02T07:00-07:00,100430.07932553541
2022-04-02T07:15-07:00,102426.55655639313
2022-04-02T07:30-07:00,101126.9411004473
2022-04-02T07:45-07:00,102384.98733701148
2022-04-02T08:00-07:00,99298.47279792374
2022-04-02T08:15-07:00,102343.41811762983
2022-04-02T08:30-07:00,103385.5353535171
2022-04-02T08:45-07:00,100880.9898857725
2022-04-02T09:00-07:00,103554.12163212047
2022-04-02T09:15-07:00,99783.44702404302
2022-04-02T09:30-07:00,101290.90857689714
2022-04-02T09:45-07:00,103933.44075897806
2022-04-02T10:00-07:00,102301.84889824818
2022-04-02T10:15-07:00,102343.41811762983
2022-04-02T10:30-07:00,104186.3201768831
2022-04-02T10:45-07:00,102675.97187268305
2022-04-02T11:00-07:00,104102.02703758143
2022-04-02T11:15-07:00,105229.01476303958
2022-04-02T11:30-07:00,106867.53482699973
2022-04-02T11:45-07:00,104186.3201768831
2022-04-02T12:00-07:00,106910.83609718896
2022-04-02T12:15-07:00,97879.92318652483
2022-04-02T12:30-07:00,102301.84889824818
2022-04-02T12:45-07:00,102509.69499515645
2022-04-02T13:00-07:00,109717.33575571973
2022-04-02T13:15-07:00,102426.55655639313
2022-04-02T13:30-07:00,103722.70791072384
2022-04-02T13:45-07:00,105186.29084311954
2022-04-02T14:00-07:00,105229.01476303958
2022-04-02T14:15-07:00,103933.44075897806
2022-04-02T14:30-07:00,102426.55655639313
2022-04-02T14:45-07:00,112567.13668443973
2022-04-02T15:00-07:00,106910.83609718896
2022-04-02T15:15-07:00,102592.83343391975
2022-04-02T15:30-07:00,103975.5873286289
2022-04-02T15:45-07:00,101085.94923133482
2022-04-02T16:00-07:00,100962.97362399743
2022-04-02T16:15-07:00,102343.41811762983
2022-04-02T16:30-07:00,103807.00105002553
2022-04-02T16:45-07:00,105399.9104427197
2022-04-02T17:00-07:00,101167.93296955976
2022-04-02T17:15-07:00,102384.98733701148
2022-04-02T17:30-07:00,102509.69499515645
2022-04-02T17:45-07:00,105399.9104427197
2022-04-02T18:00-07:00,102177.14124010321
2022-04-02T18:15-07:00,104972.67124351938
2022-04-02T18:30-07:00,103596.26820177131
2022-04-02T18:45-07:00,105100.84300327949
2022-04-02T19:00-07:00,102260.27967886651
2022-04-02T19:15-07:00,103638.41477142216
2022-04-02T19:30-07:00,106218.01577416141
2022-04-02T19:45-07:00,106694.32974624285
2022-04-02T20:00-07:00,108248.55667090132
2022-04-02T20:15-07:00,122811.06251067125
2022-04-02T20:30-07:00,104588.1559642391
2022-04-02T20:45-07:00,103216.94907491373
2022-04-02T21:00-07:00,102218.71045948486
2022-04-02T21:15-07:00,103807.00105002553
2022-04-02T21:30-07:00,105229.01476303958
2022-04-02T21:45-07:00,101003.96549310989
2022-04-02T22:00-07:00,122243.52719605785
2022-04-02T22:15-07:00,105058.11908335944
2022-04-02T22:30-07:00,102301.84889824818
2022-04-02T22:45-07:00,103680.561341073
2022-04-02T23:00-07:00,103975.5873286289
2022-04-02T23:15-07:00,101719.87982690503
2022-04-02T23:30-07:00,100471.07119464787
2022-04-02T23:45-07:00,103343.38878386626
2022-04-03T00:00-07:00,124679.94533203807
2022-04-03T00:15-07:00,99136.81472255064
2022-04-03T00:30-07:00,101969.29514319495
2022-04-03T00:45-07:00,101761.44904628668
2022-04-03T01:00-07:00,103343.38878386626
2022-04-03T01:15-07:00,101969.29514319495
2022-04-03T01:30-07:00,103469.8284928188
2022-04-03T01:45-07:00,103511.97506246963
2022-04-03T02:00-07:00,103807.00105002553
2022-04-03T02:15-07:00,99581.37442982665
2022-04-03T02:30-07:00,102509.69499515645
2022-04-03T02:45-07:00,102509.69499515645
2022-04-03T03:00-07:00,101126.9411004473
2022-04-03T03:15-07:00,101085.94923133482
2022-04-03T03:30-07:00,125188.01356892494
2022-04-03T03:45-07:00,106824.23355681052
2022-04-03T04:00-07:00,99419.71635445356
2022-04-03T04:15-07:00,103680.561341073
2022-04-03T04:30-07:00,102218.71045948486
2022-04-03T04:45-07:00,103638.41477142216
2022-04-03T05:00-07:00,100799.00614754758
2022-04-03T05:15-07:00,105314.46260287965
2022-04-03T05:30-07:00,101003.96549310989
2022-04-03T05:45-07:00,105229.01476303958
2022-04-03T06:00-07:00,100962.97362399743
2022-04-03T06:15-07:00,105229.01476303958
2022-04-03T06:30-07:00,100962.97362399743
2022-04-03T06:45-07:00,101044.95736222235
2022-04-03T07:00-07:00,102384.98733701148
2022-04-03T07:15-07:00,101126.9411004473
2022-04-03T07:30-07:00,101085.94923133482
2022-04-03T07:45-07:00,102384.98733701148
2022-04-03T08:00-07:00,102260.27967886651
2022-04-03T08:15-07:00,100799.00614754758
2022-04-03T08:30-07:00,100758.01427843512
2022-04-03T08:45-07:00,102883.81796959131
2022-04-03T09:00-07:00,102592.83343391975
2022-04-03T09:15-07:00,101085.94923133482
2022-04-03T09:30-07:00,102468.12577577478
2022-04-03T09:45-07:00,101085.94923133482
2022-04-03T10:00-07:00,100962.97362399743
2022-04-03T10:15-07:00,101044.95736222235
2022-04-03T10:30-07:00,102426.55655639313
2022-04-03T10:45-07:00,99540.95991098338
2022-04-03T11:00-07:00,102426.55655639313
2022-04-03T11:15-07:00,102509.69499515645
2022-04-03T11:30-07:00,105271.7386829596
2022-04-03T11:45-07:00,99743.03250519975
2022-04-03T12:00-07:00,102675.97187268305
2022-04-03T12:15-07:00,99864.27606172957
2022-04-03T12:30-07:00,99823.8615428863
2022-04-03T12:45-07:00,102509.69499515645
2022-04-03T13:00-07:00,101167.93296955976
2022-04-03T13:15-07:00,102551.2642145381
2022-04-03T13:30-07:00,99621.78894866993
2022-04-03T13:45-07:00,101003.96549310989
2022-04-03T14:00-07:00,102384.98733701148
2022-04-03T14:15-07:00,101208.92483867222
2022-04-03T14:30-07:00,102592.83343391975
2022-04-03T14:45-07:00,101044.95736222235
2022-04-03T15:00-07:00,119594.64416101585
2022-04-03T15:15-07:00,104228.46674653396
2022-04-03T15:30-07:00,102384.98733701148
2022-04-03T15:45-07:00,100962.97362399743
2022-04-03T16:00-07:00,101126.9411004473
2022-04-03T16:15-07:00,102301.84889824818
2022-04-03T16:30-07:00,99379.30183561028
2022-04-03T16:45-07:00,103933.44075897806
2022-04-03T17:00-07:00,121312.83856212418
2022-04-03T17:15-07:00,123715.1930322222
