t,v
2022-03-31T23:45-07:00,11792.379248198107
2022-04-01T00:00-07:00,11792.379248198107
2022-04-01T00:15-07:00,11566.635292944964
2022-04-01T00:30-07:00,12641.661494176047
2022-04-01T00:45-07:00,11767.553186622952
2022-04-01T01:00-07:00,12041.217214218836
2022-04-01T01:15-07:00,11493.88915902707
2022-04-01T01:30-07:00,12041.217214218836
2022-04-01T01:45-07:00,11792.379248198107
2022-04-01T02:00-07:00,11792.379248198107
2022-04-01T02:15-07:00,12041.217214218836
2022-04-01T02:30-07:00,12066.620626063179
2022-04-01T02:45-07:00,11518.137870333034
2022-04-01T03:00-07:00,12041.217214218836
2022-04-01T03:15-07:00,11792.379248198107
2022-04-01T03:30-07:00,11767.553186622952
2022-04-01T03:45-07:00,11792.379248198107
2022-04-01T04:00-07:00,11742.727125047799
2022-04-01T04:15-07:00,11842.031371348416
2022-04-01T04:30-07:00,11866.857432923569
2022-04-01T04:45-07:00,11566.635292944964
2022-04-01T05:00-07:00,13163.586137523469
2022-04-01T05:15-07:00,11866.857432923569
2022-04-01T05:30-07:00,11792.379248198107
2022-04-01T05:45-07:00,11792.379248198107
2022-04-01T06:00-07:00,11742.727125047799
2022-04-01T06:15-07:00,11542.386581638999
2022-04-01T06:30-07:00,11220.225131431187
2022-04-01T06:45-07:00,10946.561103835305
2022-04-01T07:00-07:00,11243.896492467962
2022-04-01T07:15-07:00,11220.225131431187
2022-04-01T07:30-07:00,10992.749125370476
2022-04-01T07:45-07:00,11493.88915902707
2022-04-01T08:00-07:00,11542.386581638999
2022-04-01T08:15-07:00,12366.842766041784
2022-04-01T08:30-07:00,12694.777718941492
2022-04-01T08:45-07:00,12092.024037907522
2022-04-01T09:00-07:00,9914.258822524254
2022-04-01T09:15-07:00,9618.655484699166
2022-04-01T09:30-07:00,8590.972005541631
2022-04-01T09:45-07:00,7205.33135948653
2022-04-01T10:00-07:00,11866.857432923569
2022-04-01T10:15-07:00,13437.82751538854
2022-04-01T10:30-07:00,13712.068893253612
2022-04-01T10:45-07:00,13163.586137523469
2022-04-01T11:00-07:00,12889.344759658396
2022-04-01T11:15-07:00,12641.661494176047
2022-04-01T11:30-07:00,10508.929599789568
2022-04-01T11:45-07:00,10486.990289560363
2022-04-01T12:00-07:00,9659.07000354244
2022-04-01T12:15-07:00,4998.69863064378
2022-04-01T12:30-07:00,8868.100134752653
2022-04-01T12:45-07:00,4988.306325798367
2022-04-01T13:00-07:00,5554.1095896042
2022-04-01T13:15-07:00,4701.363242011123
2022-04-01T13:30-07:00,4711.178196587346
2022-04-01T13:45-07:00,4977.914020952953
2022-04-01T14:00-07:00,6084.117136720277
2022-04-01T14:15-07:00,6071.415430798105
2022-04-01T14:30-07:00,5807.566357778446
2022-04-01T14:45-07:00,6058.713724875933
2022-04-01T15:00-07:00,6320.830747088024
2022-04-01T15:15-07:00,6334.109803279384
2022-04-01T15:30-07:00,7435.694116893191
2022-04-01T15:45-07:00,7420.105659625071
2022-04-01T16:00-07:00,8261.882352103545
2022-04-01T16:15-07:00,8794.19930029638
2022-04-01T16:30-07:00,9088.0705873139
2022-04-01T16:45-07:00,9914.258822524254
