t,v
2022-03-31T23:45-07:00,118395.36510975992
2022-04-01T00:00-07:00,113322.46344313768
2022-04-01T00:15-07:00,118907.51416109958
2022-04-01T00:30-07:00,125178.21665299611
2022-04-01T00:45-07:00,118377.15141116256
2022-04-01T01:00-07:00,119315.92900344475
2022-04-01T01:15-07:00,124987.19868640587
2022-04-01T01:30-07:00,120882.37301852289
2022-04-01T01:45-07:00,119484.21188237178
2022-04-01T02:00-07:00,119647.00100242085
2022-04-01T02:15-07:00,120582.905981044
2022-04-01T02:30-07:00,120797.55314975836
2022-04-01T02:45-07:00,120457.42758674131
2022-04-01T03:00-07:00,119599.48430233562
2022-04-01T03:15-07:00,117759.84479482437
2022-04-01T03:30-07:00,121158.38982061831
2022-04-01T03:45-07:00,115244.37530247687
2022-04-01T04:00-07:00,121687.64755998531
2022-04-01T04:15-07:00,119209.52347930468
2022-04-01T04:30-07:00,125266.6809170892
2022-04-01T04:45-07:00,120792.90076233698
2022-04-01T05:00-07:00,124401.4805966219
2022-04-01T05:15-07:00,119047.24875981543
2022-04-01T05:30-07:00,118671.19244508517
2022-04-01T05:45-07:00,118720.41817492034
2022-04-01T06:00-07:00,122691.56932429009
2022-04-01T06:15-07:00,119043.03749478442
2022-04-01T06:30-07:00,119603.82612031933
2022-04-01T06:45-07:00,122827.98408846698
2022-04-01T07:00-07:00,117820.27256914438
2022-04-01T07:15-07:00,119005.1105381233
2022-04-01T07:30-07:00,118892.53196438485
2022-04-01T07:45-07:00,115244.48081423063
2022-04-01T08:00-07:00,115614.85881625186
2022-04-01T08:15-07:00,116246.97146525882
2022-04-01T08:30-07:00,108928.8185601986
2022-04-01T08:45-07:00,114771.96927693725
2022-04-01T09:00-07:00,117956.98196020385
2022-04-01T09:15-07:00,119862.27422782202
2022-04-01T09:30-07:00,116229.83650823195
2022-04-01T09:45-07:00,118260.91086672315
2022-04-01T10:00-07:00,119796.19915692997
2022-04-01T10:15-07:00,116129.22144539803
2022-04-01T10:30-07:00,113743.6785967571
2022-04-01T10:45-07:00,124621.77221125823
2022-04-01T11:00-07:00,119196.56443729499
2022-04-01T11:15-07:00,119945.8509886733
2022-04-01T11:30-07:00,119807.45845616593
2022-04-01T11:45-07:00,118606.11178863094
2022-04-01T12:00-07:00,123539.15576087915
2022-04-01T12:15-07:00,121983.8890487424
2022-04-01T12:30-07:00,118911.3151982334
2022-04-01T12:45-07:00,119937.82722877509
2022-04-01T13:00-07:00,119002.2703097049
2022-04-01T13:15-07:00,121682.80651284667
2022-04-01T13:30-07:00,120545.75621679694
2022-04-01T13:45-07:00,118452.57879133127
2022-04-01T14:00-07:00,121751.44368297937
2022-04-01T14:15-07:00,117971.39254312447
2022-04-01T14:30-07:00,119999.17530237426
2022-04-01T14:45-07:00,120712.309592232
2022-04-01T15:00-07:00,121420.34644855022
2022-04-01T15:15-07:00,121465.76937129583
2022-04-01T15:30-07:00,121432.2570625738
2022-04-01T15:45-07:00,121423.09824785526
2022-04-01T16:00-07:00,121399.9610090311
2022-04-01T16:15-07:00,122048.96896710299
2022-04-01T16:30-07:00,121557.09945251969
2022-04-01T16:45-07:00,123512.45483517389
2022-04-01T17:00-07:00,122644.94862024157
2022-04-01T17:15-07:00,123717.77649335412
2022-04-01T17:30-07:00,124554.32312630166
2022-04-01T17:45-07:00,123530.33783757604
2022-04-01T18:00-07:00,124341.07575791217
2022-04-01T18:15-07:00,126082.51718558282
2022-04-01T18:30-07:00,121607.0676169305
2022-04-01T18:45-07:00,124632.94313488458
2022-04-01T19:00-07:00,121135.6869854111
2022-04-01T19:15-07:00,116569.17263197876
2022-04-01T19:30-07:00,125369.27986050377
2022-04-01T19:45-07:00,122761.1737030965
2022-04-01T20:00-07:00,122574.14112433628
2022-04-01T20:15-07:00,124077.64898360235
2022-04-01T20:30-07:00,119994.05557710488
2022-04-01T20:45-07:00,119352.72069023937
2022-04-01T21:00-07:00,123934.09817302598
2022-04-01T21:15-07:00,126504.3232094656
2022-04-01T21:30-07:00,124523.1734785981
2022-04-01T21:45-07:00,123308.87383304791
2022-04-01T22:00-07:00,123672.55457972005
2022-04-01T22:15-07:00,126809.12224644657
2022-04-01T22:30-07:00,123090.07688757061
2022-04-01T22:45-07:00,122117.88052056213
2022-04-01T23:00-07:00,120388.11567864507
2022-04-01T23:15-07:00,119098.88389095328
2022-04-01T23:30-07:00,122791.16696468284
2022-04-01T23:45-07:00,118252.428114922
2022-04-02T00:00-07:00,122754.33002809275
2022-04-02T00:15-07:00,127804.13648025261
2022-04-02T00:30-07:00,118559.84521445974
2022-04-02T00:45-07:00,113240.1138490846
2022-04-02T01:00-07:00,123247.77506917156
2022-04-02T01:15-07:00,125100.16287101565
2022-04-02T01:30-07:00,123621.85659118905
2022-04-02T01:45-07:00,126211.04516859316
2022-04-02T02:00-07:00,124126.81789063274
2022-04-02T02:15-07:00,123397.45546401007
2022-04-02T02:30-07:00,121541.75618041425
2022-04-02T02:45-07:00,125031.10984901342
2022-04-02T03:00-07:00,121280.55192163236
2022-04-02T03:15-07:00,124554.18431814456
2022-04-02T03:30-07:00,123902.22579488608
2022-04-02T03:45-07:00,122014.16369051556
2022-04-02T04:00-07:00,122400.15746612019
2022-04-02T04:15-07:00,122461.63926793242
2022-04-02T04:30-07:00,122503.55574581405
2022-04-02T04:45-07:00,121583.99798572234
2022-04-02T05:00-07:00,121386.0941794604
2022-04-02T05:15-07:00,121885.58000593622
2022-04-02T05:30-07:00,122529.7406498931
2022-04-02T05:45-07:00,118011.2115766409
2022-04-02T06:00-07:00,117769.37022652106
2022-04-02T06:15-07:00,117546.95203258615
2022-04-02T06:30-07:00,118677.09918155335
2022-04-02T06:45-07:00,113360.99629136482
2022-04-02T07:00-07:00,121970.22532245802
2022-04-02T07:15-07:00,112155.98627103069
2022-04-02T07:30-07:00,121408.49394049181
2022-04-02T07:45-07:00,118803.69635096808
2022-04-02T08:00-07:00,123048.64526886393
2022-04-02T08:15-07:00,117450.12562687376
2022-04-02T08:30-07:00,123627.3935329949
2022-04-02T08:45-07:00,121876.66617413698
2022-04-02T09:00-07:00,118302.49421312769
2022-04-02T09:15-07:00,120695.72561787981
2022-04-02T09:30-07:00,117026.69155131064
2022-04-02T09:45-07:00,112711.36551705787
2022-04-02T10:00-07:00,116145.0970456434
2022-04-02T10:15-07:00,120729.87924378662
2022-04-02T10:30-07:00,118870.61843537955
2022-04-02T10:45-07:00,118517.81997404528
2022-04-02T11:00-07:00,122082.71987150735
2022-04-02T11:15-07:00,119677.30071219848
2022-04-02T11:30-07:00,116848.21127913316
2022-04-02T11:45-07:00,124716.5248117061
2022-04-02T12:00-07:00,125870.23218549618
2022-04-02T12:15-07:00,120697.98817267173
2022-04-02T12:30-07:00,123585.40181823418
2022-04-02T12:45-07:00,127858.82049949405
2022-04-02T13:00-07:00,120024.03957062194
2022-04-02T13:15-07:00,118580.74728955042
2022-04-02T13:30-07:00,118914.18533741606
2022-04-02T13:45-07:00,111853.3477119124
2022-04-02T14:00-07:00,118231.50373582184
2022-04-02T14:15-07:00,120086.25137755148
2022-04-02T14:30-07:00,119045.89633879578
2022-04-02T14:45-07:00,122786.67948410717
2022-04-02T15:00-07:00,122109.50006751323
2022-04-02T15:15-07:00,118531.1858155865
2022-04-02T15:30-07:00,120369.17914479953
2022-04-02T15:45-07:00,118105.34711809957
2022-04-02T16:00-07:00,119256.52095519599
2022-04-02T16:15-07:00,120870.44674616856
2022-04-02T16:30-07:00,118893.2939307926
2022-04-02T16:45-07:00,117587.56133791004
2022-04-02T17:00-07:00,118845.78735706586
2022-04-02T17:15-07:00,119107.64140755759
2022-04-02T17:30-07:00,119786.94873367855
2022-04-02T17:45-07:00,119841.14020378423
2022-04-02T18:00-07:00,119719.86804074599
2022-04-02T18:15-07:00,119575.33840563796
2022-04-02T18:30-07:00,119788.82490659869
2022-04-02T18:45-07:00,119169.88649275445
2022-04-02T19:00-07:00,117306.52321846271
2022-04-02T19:15-07:00,119859.25528495839
2022-04-02T19:30-07:00,120955.25704348425
2022-04-02T19:45-07:00,118297.29672930359
2022-04-02T20:00-07:00,120114.04262127433
2022-04-02T20:15-07:00,119078.3674786182
2022-04-02T20:30-07:00,119602.62846441954
2022-04-02T20:45-07:00,121100.20123856839
2022-04-02T21:00-07:00,118968.31052918568
2022-04-02T21:15-07:00,121101.98553125109
2022-04-02T21:30-07:00,118483.26182311187
2022-04-02T21:45-07:00,118445.9817307402
2022-04-02T22:00-07:00,119809.16875219197
2022-04-02T22:15-07:00,118976.13502484777
2022-04-02T22:30-07:00,123687.93704631773
2022-04-02T22:45-07:00,121481.33888644789
2022-04-02T23:00-07:00,118380.39589467148
2022-04-02T23:15-07:00,119109.26192890621
2022-04-02T23:30-07:00,124913.71470804606
2022-04-02T23:45-07:00,113219.4443635761
2022-04-03T00:00-07:00,118454.24592409685
2022-04-03T00:15-07:00,118113.64289293368
2022-04-03T00:30-07:00,119268.32158298032
2022-04-03T00:45-07:00,121089.88918092108
2022-04-03T01:00-07:00,120354.95058078124
2022-04-03T01:15-07:00,118846.8703777031
2022-04-03T01:30-07:00,121740.48532104157
2022-04-03T01:45-07:00,116895.1540919595
2022-04-03T02:00-07:00,112066.59334963396
2022-04-03T02:15-07:00,120965.01312712103
2022-04-03T02:30-07:00,119229.97204551211
2022-04-03T02:45-07:00,120249.7856215595
2022-04-03T03:00-07:00,121716.17528486496
2022-04-03T03:15-07:00,120304.96918008615
2022-04-03T03:30-07:00,124064.32291829157
2022-04-03T03:45-07:00,123985.07099535034
2022-04-03T04:00-07:00,120417.17418459723
2022-04-03T04:15-07:00,120314.39167919541
2022-04-03T04:30-07:00,118668.59408280776
2022-04-03T04:45-07:00,121535.41277462126
2022-04-03T05:00-07:00,116724.31666832932
2022-04-03T05:15-07:00,122790.39144967025
2022-04-03T05:30-07:00,119976.27327210782
2022-04-03T05:45-07:00,122066.37422469813
2022-04-03T06:00-07:00,111715.5162403031
2022-04-03T06:15-07:00,122407.81210788692
2022-04-03T06:30-07:00,121837.19358810961
2022-04-03T06:45-07:00,121218.61664298954
2022-04-03T07:00-07:00,120574.44708743738
2022-04-03T07:15-07:00,125073.59045391668
2022-04-03T07:30-07:00,113147.17025191657
2022-04-03T07:45-07:00,113935.0889749113
2022-04-03T08:00-07:00,121263.29632674275
2022-04-03T08:15-07:00,118607.07442632083
2022-04-03T08:30-07:00,114110.35857977095
2022-04-03T08:45-07:00,121044.2967182777
2022-04-03T09:00-07:00,122102.76694589874
2022-04-03T09:15-07:00,117648.32656058703
2022-04-03T09:30-07:00,118344.28678028464
2022-04-03T09:45-07:00,119649.88017567393
2022-04-03T10:00-07:00,119153.94873848757
2022-04-03T10:15-07:00,123413.6948342996
2022-04-03T10:30-07:00,120348.49699845425
2022-04-03T10:45-07:00,109629.1561471862
2022-04-03T11:00-07:00,119585.95426502335
2022-04-03T11:15-07:00,123091.63838091292
2022-04-03T11:30-07:00,125245.52728976661
2022-04-03T11:45-07:00,118666.43414898207
2022-04-03T12:00-07:00,114699.57621203733
2022-04-03T12:15-07:00,118957.05850292055
2022-04-03T12:30-07:00,116774.86499105576
2022-04-03T12:45-07:00,120644.07178975958
2022-04-03T13:00-07:00,120773.26657928005
2022-04-03T13:15-07:00,117313.00378891369
2022-04-03T13:30-07:00,118066.00603008039
2022-04-03T13:45-07:00,119517.10928693812
2022-04-03T14:00-07:00,119609.79447629464
2022-04-03T14:15-07:00,116712.89695397376
2022-04-03T14:30-07:00,123954.98343112855
2022-04-03T14:45-07:00,117613.38992738785
2022-04-03T15:00-07:00,119504.64075892116
2022-04-03T15:15-07:00,117730.04269513313
2022-04-03T15:30-07:00,121729.49052961047
2022-04-03T15:45-07:00,119516.57385763447
2022-04-03T16:00-07:00,118556.77401709123
2022-04-03T16:15-07:00,118400.78072476482
2022-04-03T16:30-07:00,124539.54293158797
2022-04-03T16:45-07:00,119637.41907399188
2022-04-03T17:00-07:00,121747.80522355533
2022-04-03T17:15-07:00,118372.79636670137
