t,v
2022-03-31T23:45-07:00,121303.44505572943
2022-04-01T00:00-07:00,120714.82141704015
2022-04-01T00:15-07:00,124090.35488261808
2022-04-01T00:30-07:00,118117.41049120725
2022-04-01T00:45-07:00,120093.5854118455
2022-04-01T01:00-07:00,123408.2312933483
2022-04-01T01:15-07:00,112586.63794669489
2022-04-01T01:30-07:00,125739.10023264927
2022-04-01T01:45-07:00,121387.75506517636
2022-04-01T02:00-07:00,123738.45938810706
2022-04-01T02:15-07:00,122193.80317099016
2022-04-01T02:30-07:00,128106.02907394437
2022-04-01T02:45-07:00,124951.5410361857
2022-04-01T03:00-07:00,121108.50786389921
2022-04-01T03:15-07:00,118302.49415002468
2022-04-01T03:30-07:00,115584.85465884057
2022-04-01T03:45-07:00,118172.02532207343
2022-04-01T04:00-07:00,119483.6380506638
2022-04-01T04:15-07:00,123447.40012671717
2022-04-01T04:30-07:00,118924.64032301023
2022-04-01T04:45-07:00,121766.6171536688
2022-04-01T05:00-07:00,122210.00077470676
2022-04-01T05:15-07:00,120632.37785981598
2022-04-01T05:30-07:00,121449.32571978853
2022-04-01T05:45-07:00,121348.53734354663
2022-04-01T06:00-07:00,121508.52111590844
2022-04-01T06:15-07:00,121765.37511958432
2022-04-01T06:30-07:00,124958.6675201408
2022-04-01T06:45-07:00,129280.01006754515
2022-04-01T07:00-07:00,124517.15431450061
2022-04-01T07:15-07:00,122159.6053158092
2022-04-01T07:30-07:00,120565.9325883675
2022-04-01T07:45-07:00,116030.41083467333
2022-04-01T08:00-07:00,120582.00793425657
2022-04-01T08:15-07:00,130671.50402313922
2022-04-01T08:30-07:00,123283.48555147725
2022-04-01T08:45-07:00,124420.17837854663
2022-04-01T09:00-07:00,120567.41106671184
2022-04-01T09:15-07:00,123194.35191147584
2022-04-01T09:30-07:00,119436.56825535238
2022-04-01T09:45-07:00,127122.03635542565
2022-04-01T10:00-07:00,127485.1178352231
2022-04-01T10:15-07:00,122415.74096219902
2022-04-01T10:30-07:00,128794.49000738708
2022-04-01T10:45-07:00,125790.8438286123
2022-04-01T11:00-07:00,124190.588281713
2022-04-01T11:15-07:00,125476.93777397662
2022-04-01T11:30-07:00,125439.89947490132
2022-04-01T11:45-07:00,121833.41029409622
2022-04-01T12:00-07:00,126383.54152280293
2022-04-01T12:15-07:00,115917.8526550383
2022-04-01T12:30-07:00,123609.90468725914
2022-04-01T12:45-07:00,120500.10808924523
2022-04-01T13:00-07:00,120403.38546371015
2022-04-01T13:15-07:00,126973.19489952686
2022-04-01T13:30-07:00,123315.17632230376
2022-04-01T13:45-07:00,123219.4791064896
2022-04-01T14:00-07:00,123556.98091252537
2022-04-01T14:15-07:00,119984.97757788484
2022-04-01T14:30-07:00,124819.85510998052
2022-04-01T14:45-07:00,121605.52737236458
2022-04-01T15:00-07:00,125622.69760947369
2022-04-01T15:15-07:00,124380.26697681825
2022-04-01T15:30-07:00,125434.57680107796
2022-04-01T15:45-07:00,123349.15824529437
2022-04-01T16:00-07:00,122202.58276151
2022-04-01T16:15-07:00,125446.09243922813
2022-04-01T16:30-07:00,124948.80216221204
2022-04-01T16:45-07:00,126683.46429115933
2022-04-01T17:00-07:00,126682.22702001518
2022-04-01T17:15-07:00,124837.84421038882
2022-04-01T17:30-07:00,126530.80110173588
2022-04-01T17:45-07:00,125696.46547815375
2022-04-01T18:00-07:00,125305.13461280154
2022-04-01T18:15-07:00,121260.0938983996
2022-04-01T18:30-07:00,125478.22378968766
2022-04-01T18:45-07:00,123802.21350234057
2022-04-01T19:00-07:00,126294.02276617524
2022-04-01T19:15-07:00,117553.5069357312
2022-04-01T19:30-07:00,120782.04673680098
2022-04-01T19:45-07:00,137692.38316852466
2022-04-01T20:00-07:00,125580.2091041553
2022-04-01T20:15-07:00,121885.464743874
2022-04-01T20:30-07:00,125878.75259290036
2022-04-01T20:45-07:00,118715.52858567226
2022-04-01T21:00-07:00,126376.98978646325
2022-04-01T21:15-07:00,126289.55753346784
2022-04-01T21:30-07:00,126275.13094740572
2022-04-01T21:45-07:00,130477.82596185533
2022-04-01T22:00-07:00,125277.7549755193
2022-04-01T22:15-07:00,119136.13106307347
2022-04-01T22:30-07:00,126849.15936029033
2022-04-01T22:45-07:00,134464.82025606063
2022-04-01T23:00-07:00,118247.05818556028
2022-04-01T23:15-07:00,117676.41706781999
2022-04-01T23:30-07:00,125585.07411148427
2022-04-01T23:45-07:00,131399.2221256439
2022-04-02T00:00-07:00,123332.12719606116
2022-04-02T00:15-07:00,120982.83879668583
