t,v
2022-03-31T23:45-07:00,91665.3248889677
2022-04-01T00:00-07:00,94328.25678055997
2022-04-01T00:15-07:00,92491.51312417805
2022-04-01T00:30-07:00,91553.8962870141
2022-04-01T00:45-07:00,91735.56917171911
2022-04-01T01:00-07:00,92838.88553614047
2022-04-01T01:15-07:00,93287.48669530083
2022-04-01T01:30-07:00,93736.85765482008
2022-04-01T01:45-07:00,93150.07733123368
2022-04-01T02:00-07:00,93218.97446335698
2022-04-01T02:15-07:00,94322.09837768864
2022-04-01T02:30-07:00,91421.8755254594
2022-04-01T02:45-07:00,92388.7447762623
2022-04-01T03:00-07:00,93564.22992433238
2022-04-01T03:15-07:00,93564.22992433238
2022-04-01T03:30-07:00,93632.35725609676
2022-04-01T03:45-07:00,94149.66309729066
2022-04-01T04:00-07:00,91977.67138459929
2022-04-01T04:15-07:00,94953.71957218209
2022-04-01T04:30-07:00,94953.71957218209
2022-04-01T04:45-07:00,96235.62961987278
2022-04-01T05:00-07:00,94569.97409326071
2022-04-01T05:15-07:00,93598.48604030428
2022-04-01T05:30-07:00,92734.77003759662
2022-04-01T05:45-07:00,93046.34673286928
2022-04-01T06:00-07:00,91841.03182089106
2022-04-01T06:15-07:00,94916.38425477449
2022-04-01T06:30-07:00,91702.85265646502
2022-04-01T06:45-07:00,92631.6167895014
2022-04-01T07:00-07:00,94254.74084628317
2022-04-01T07:15-07:00,92803.28226954045
2022-04-01T07:30-07:00,93253.8079295981
2022-04-01T07:45-07:00,90700.95748933131
2022-04-01T08:00-07:00,89620.54268558777
2022-04-01T08:15-07:00,88507.79626676964
2022-04-01T08:30-07:00,87565.75307754189
2022-04-01T08:45-07:00,85814.26481091032
2022-04-01T09:00-07:00,87565.75307754189
2022-04-01T09:15-07:00,87079.81660097397
2022-04-01T09:30-07:00,85167.82495950765
2022-04-01T09:45-07:00,89398.84018221896
2022-04-01T10:00-07:00,96755.82221241263
2022-04-01T10:15-07:00,96671.52907311094
2022-04-01T10:30-07:00,98178.41327569587
2022-04-01T10:45-07:00,96972.7134635382
2022-04-01T11:00-07:00,96972.7134635382
2022-04-01T11:15-07:00,93909.48538530778
2022-04-01T11:30-07:00,89051.66022034627
2022-04-01T11:45-07:00,89299.72838600806
2022-04-01T12:00-07:00,90413.0521550954
2022-04-01T12:15-07:00,74369.45042476435
2022-04-01T12:30-07:00,73591.37471198646
2022-04-01T12:45-07:00,74717.78508717543
2022-04-01T13:00-07:00,77333.18180660442
2022-04-01T13:15-07:00,81587.29104008332
2022-04-01T13:30-07:00,82025.30744430852
2022-04-01T13:45-07:00,79330.62128791082
2022-04-01T14:00-07:00,80540.3625519528
2022-04-01T14:15-07:00,80277.86062956126
2022-04-01T14:30-07:00,82190.42962129675
2022-04-01T14:45-07:00,80367.15747119591
2022-04-01T15:00-07:00,82780.866496588
2022-04-01T15:15-07:00,83990.60776063001
2022-04-01T15:30-07:00,86659.12070482445
2022-04-01T15:45-07:00,87792.6517333334
2022-04-01T16:00-07:00,85468.23954957598
2022-04-01T16:15-07:00,85200.34902467199
2022-04-01T16:30-07:00,87371.37848691473
2022-04-01T16:45-07:00,88311.1122750657
2022-04-01T17:00-07:00,89666.3458069435
2022-04-01T17:15-07:00,92183.20808043079
2022-04-01T17:30-07:00,93218.97446335698
2022-04-01T17:45-07:00,94111.55797952414
2022-04-01T18:00-07:00,94322.09837768864
2022-04-01T18:15-07:00,95143.8602608352
2022-04-01T18:30-07:00,95789.3378617892
2022-04-01T18:45-07:00,95701.58062087237
2022-04-01T19:00-07:00,96046.45118166831
2022-04-01T19:15-07:00,97896.66634433133
2022-04-01T19:30-07:00,99505.74154456281
2022-04-01T19:45-07:00,97959.02017340381
2022-04-01T20:00-07:00,92459.56640928291
2022-04-01T20:15-07:00,93079.25569821309
2022-04-01T20:30-07:00,92355.83581091849
2022-04-01T20:45-07:00,93977.2278168927
2022-04-01T21:00-07:00,93184.3334472056
2022-04-01T21:15-07:00,92664.71820493494
2022-04-01T21:30-07:00,92252.87501291302
2022-04-01T21:45-07:00,96606.48094278223
2022-04-01T22:00-07:00,95715.43702733293
2022-04-01T22:15-07:00,96433.66076220482
2022-04-01T22:30-07:00,93841.3580535434
2022-04-01T22:45-07:00,93841.3580535434
2022-04-01T23:00-07:00,93668.53787296597
2022-04-01T23:15-07:00,92977.25715065625
2022-04-01T23:30-07:00,92458.79660892396
2022-04-01T23:45-07:00,93357.53852796249
2022-04-02T00:00-07:00,91452.28263963673
2022-04-02T00:15-07:00,92318.30804342116
2022-04-02T00:30-07:00,92388.7447762623
2022-04-02T00:45-07:00,92458.79660892396
2022-04-02T01:00-07:00,93461.2691263269
2022-04-02T01:15-07:00,92145.10296266427
2022-04-02T01:30-07:00,94223.56393174693
2022-04-02T01:45-07:00,93736.85765482008
2022-04-02T02:00-07:00,92977.25715065625
2022-04-02T02:15-07:00,92318.30804342116
2022-04-02T02:30-07:00,93184.3334472056
2022-04-02T02:45-07:00,92561.75740692946
2022-04-02T03:00-07:00,91177.6563615922
2022-04-02T03:15-07:00,91594.69570603683
2022-04-02T03:30-07:00,92355.83581091849
2022-04-02T03:45-07:00,91421.8755254594
2022-04-02T04:00-07:00,92215.73214559515
2022-04-02T04:15-07:00,91320.0694279923
2022-04-02T04:30-07:00,91869.70688426083
2022-04-02T04:45-07:00,93011.12836644871
2022-04-02T05:00-07:00,91147.4416975046
