t,v
2022-03-31T23:45-07:00,102681.16802510576
2022-04-01T00:00-07:00,96743.12050649046
2022-04-01T00:15-07:00,101491.24912030593
2022-04-01T00:30-07:00,96353.671506728
2022-04-01T00:45-07:00,96366.68813097882
2022-04-01T01:00-07:00,98556.2102972983
2022-04-01T01:15-07:00,96583.0370227606
2022-04-01T01:30-07:00,103941.47117635858
2022-04-01T01:45-07:00,100197.77457176875
2022-04-01T02:00-07:00,103941.47117635858
2022-04-01T02:15-07:00,97016.36464298148
2022-04-01T02:30-07:00,87957.63394662003
2022-04-01T02:45-07:00,92638.47501088088
2022-04-01T03:00-07:00,94087.36175460629
2022-04-01T03:15-07:00,89970.48693056751
2022-04-01T03:30-07:00,92803.28226954045
2022-04-01T03:45-07:00,93739.53446061359
2022-04-01T04:00-07:00,90948.83320490338
2022-04-01T04:15-07:00,90023.34072339241
2022-04-01T04:30-07:00,93809.44632957365
2022-04-01T04:45-07:00,91892.85338141653
2022-04-01T05:00-07:00,88199.49122302237
2022-04-01T05:15-07:00,95399.25902536945
2022-04-01T05:30-07:00,95852.84639140006
2022-04-01T05:45-07:00,101495.81543607135
2022-04-01T06:00-07:00,94766.48313033761
2022-04-01T06:15-07:00,102899.40642685944
2022-04-01T06:30-07:00,99463.80492046442
2022-04-01T06:45-07:00,99167.78169153446
2022-04-01T07:00-07:00,101387.9559085091
2022-04-01T07:15-07:00,101503.68839428756
2022-04-01T07:30-07:00,101860.01848315378
2022-04-01T07:45-07:00,107960.30142741138
2022-04-01T08:00-07:00,105794.24067657623
2022-04-01T08:15-07:00,103940.10653026779
2022-04-01T08:30-07:00,107357.02288249634
2022-04-01T08:45-07:00,97781.77364076259
2022-04-01T09:00-07:00,99202.94757156691
2022-04-01T09:15-07:00,101571.97318521627
2022-04-01T09:30-07:00,104120.5022461955
2022-04-01T09:45-07:00,108738.14969917413
2022-04-01T10:00-07:00,108882.38229369531
2022-04-01T10:15-07:00,109232.57147515289
2022-04-01T10:30-07:00,107342.11674827359
2022-04-01T10:45-07:00,107189.69627720755
2022-04-01T11:00-07:00,105898.5311297471
2022-04-01T11:15-07:00,109007.19492461649
2022-04-01T11:30-07:00,110072.35368488324
2022-04-01T11:45-07:00,112728.16492315553
2022-04-01T12:00-07:00,115464.59525356191
2022-04-01T12:15-07:00,125943.76507129415
2022-04-01T12:30-07:00,114791.71975801546
2022-04-01T12:45-07:00,122375.11057104499
2022-04-01T13:00-07:00,115535.18944556739
2022-04-01T13:15-07:00,119698.61969585808
2022-04-01T13:30-07:00,112402.38191216823
2022-04-01T13:45-07:00,117664.56221111493
2022-04-01T14:00-07:00,131870.47553007808
2022-04-01T14:15-07:00,123014.65721014274
2022-04-01T14:30-07:00,120609.6259342512
2022-04-01T14:45-07:00,118135.47008522123
