t,v
2022-03-31T23:45-07:00,99393.26321484706
2022-04-01T00:00-07:00,97312.59781746387
2022-04-01T00:15-07:00,95238.96559608718
2022-04-01T00:30-07:00,92078.1828178264
2022-04-01T00:45-07:00,96387.68268622209
2022-04-01T01:00-07:00,100701.43395205453
2022-04-01T01:15-07:00,94572.65089905422
2022-04-01T01:30-07:00,94277.57242511021
2022-04-01T01:45-07:00,95741.47027583457
2022-04-01T02:00-07:00,96785.73945363428
2022-04-01T02:15-07:00,88618.01768179674
2022-04-01T02:30-07:00,85490.03889610356
2022-04-01T02:45-07:00,91669.57628640445
2022-04-01T03:00-07:00,93492.00865429557
2022-04-01T03:15-07:00,88206.26196708831
2022-04-01T03:30-07:00,87521.89195254618
2022-04-01T03:45-07:00,87110.08375144967
2022-04-01T04:00-07:00,88544.9041431621
2022-04-01T04:15-07:00,86504.96818295082
2022-04-01T04:30-07:00,93412.64923547604
2022-04-01T04:45-07:00,94120.69061105498
2022-04-01T05:00-07:00,95945.53735279903
2022-04-01T05:15-07:00,96845.78388162999
2022-04-01T05:30-07:00,98618.72158553511
2022-04-01T05:45-07:00,98991.95229137216
2022-04-01T06:00-07:00,97435.73088396557
2022-04-01T06:15-07:00,105125.5116056903
2022-04-01T06:30-07:00,100290.99039704882
2022-04-01T06:45-07:00,100067.18843815566
2022-04-01T07:00-07:00,108736.41764836655
2022-04-01T07:15-07:00,99670.86372155105
2022-04-01T07:30-07:00,107971.84843279516
2022-04-01T07:45-07:00,103756.14173994873
2022-04-01T08:00-07:00,119085.84111469546
2022-04-01T08:15-07:00,118684.74013677299
2022-04-01T08:30-07:00,113834.15809337042
2022-04-01T08:45-07:00,110260.04500875798
2022-04-01T09:00-07:00,111590.26002897088
2022-04-01T09:15-07:00,106413.63254264047
2022-04-01T09:30-07:00,107391.87384420012
2022-04-01T09:45-07:00,114818.69776150305
2022-04-01T10:00-07:00,115290.49790420718
2022-04-01T10:15-07:00,106523.3290937865
2022-04-01T10:30-07:00,116514.5329612773
2022-04-01T10:45-07:00,109504.66091110553
2022-04-01T11:00-07:00,112934.64637397298
2022-04-01T11:15-07:00,114261.55475173505
2022-04-01T11:30-07:00,117219.42515356973
2022-04-01T11:45-07:00,115720.04650448427
2022-04-01T12:00-07:00,116172.11176525975
2022-04-01T12:15-07:00,130322.86189032123
2022-04-01T12:30-07:00,117284.77070676438
2022-04-01T12:45-07:00,121819.17474820347
2022-04-01T13:00-07:00,122326.08828455197
2022-04-01T13:15-07:00,123748.10199756602
2022-04-01T13:30-07:00,123677.35034639624
2022-04-01T13:45-07:00,121202.3022287684
2022-04-01T14:00-07:00,126608.085285579
2022-04-01T14:15-07:00,120034.74252530267
2022-04-01T14:30-07:00,125040.2119000124
2022-04-01T14:45-07:00,123179.04457769747
2022-04-01T15:00-07:00,121867.40973887485
2022-04-01T15:15-07:00,121345.17017719879
2022-04-01T15:30-07:00,122648.72211225274
2022-04-01T15:45-07:00,123490.34134556689
2022-04-01T16:00-07:00,123637.8805825389
2022-04-01T16:15-07:00,122014.94897584687
2022-04-01T16:30-07:00,118368.5621348095
2022-04-01T16:45-07:00,124080.4982934549
2022-04-01T17:00-07:00,121719.87050190286
2022-04-01T17:15-07:00,118895.84038974396
2022-04-01T17:30-07:00,121572.33126493085
2022-04-01T17:45-07:00,129759.26305481597
2022-04-01T18:00-07:00,124124.63934585387
2022-04-01T18:15-07:00,122713.17539684955
2022-04-01T18:30-07:00,116039.26871695802
2022-04-01T18:45-07:00,120306.35958376234
2022-04-01T19:00-07:00,116809.50646244509
2022-04-01T19:15-07:00,118408.97665365279
2022-04-01T19:30-07:00,117527.52025176457
2022-04-01T19:45-07:00,118513.52953876423
2022-04-01T20:00-07:00,118745.20445587358
2022-04-01T20:15-07:00,116246.85238192574
2022-04-01T20:30-07:00,113738.21297590873
2022-04-01T20:45-07:00,108992.70868149864
2022-04-01T21:00-07:00,109450.91484968278
2022-04-01T21:15-07:00,99689.07649822459
2022-04-01T21:30-07:00,99097.44993146953
