t,v
2022-03-31T23:45-07:00,82774.70809371665
2022-04-01T00:00-07:00,82859.86725842212
2022-04-01T00:15-07:00,82945.0264231276
2022-04-01T00:30-07:00,82996.12192195088
2022-04-01T00:45-07:00,81237.80167713387
2022-04-01T01:00-07:00,81137.34273029487
2022-04-01T01:15-07:00,82638.4534301879
2022-04-01T01:30-07:00,82638.4534301879
2022-04-01T01:45-07:00,81371.74693958586
2022-04-01T02:00-07:00,82706.58076195228
2022-04-01T02:15-07:00,81321.51746616636
2022-04-01T02:30-07:00,82723.61259489336
2022-04-01T02:45-07:00,81371.74693958586
2022-04-01T03:00-07:00,82723.61259489336
2022-04-01T03:15-07:00,82740.64442783446
2022-04-01T03:30-07:00,82723.61259489336
2022-04-01T03:45-07:00,79886.51337209555
2022-04-01T04:00-07:00,82519.23059960024
2022-04-01T04:15-07:00,81689.86693790935
2022-04-01T04:30-07:00,81723.35325352233
2022-04-01T04:45-07:00,83030.18558783305
2022-04-01T05:00-07:00,81522.43535984436
2022-04-01T05:15-07:00,81890.78483158733
2022-04-01T05:30-07:00,81455.46272861835
2022-04-01T05:45-07:00,81421.97641300535
2022-04-01T06:00-07:00,81036.88378345588
2022-04-01T06:15-07:00,81706.61009571585
2022-04-01T06:30-07:00,81689.86693790935
2022-04-01T06:45-07:00,81304.77430835986
2022-04-01T07:00-07:00,81421.97641300535
2022-04-01T07:15-07:00,78274.8400956527
2022-04-01T07:30-07:00,80166.23957751792
2022-04-01T07:45-07:00,78420.33236348849
2022-04-01T08:00-07:00,80314.32992156506
2022-04-01T08:15-07:00,78727.48270669737
2022-04-01T08:30-07:00,77448.65186044235
2022-04-01T08:45-07:00,77258.12627160977
2022-04-01T09:00-07:00,77146.98634479077
2022-04-01T09:15-07:00,78452.66397856311
2022-04-01T09:30-07:00,78889.14078207046
2022-04-01T09:45-07:00,77528.03752245592
2022-04-01T10:00-07:00,75978.14072481637
2022-04-01T10:15-07:00,81338.26062397286
2022-04-01T10:30-07:00,79952.33130278316
2022-04-01T10:45-07:00,81221.05851932737
2022-04-01T11:00-07:00,79721.9685453765
2022-04-01T11:15-07:00,78420.33236348849
2022-04-01T11:30-07:00,80100.4216468303
2022-04-01T11:45-07:00,80083.9671641584
2022-04-01T12:00-07:00,79935.87682011125
2022-04-01T12:15-07:00,75915.78689574389
2022-04-01T12:30-07:00,78711.31689916007
2022-04-01T12:45-07:00,77369.26619842878
2022-04-01T13:00-07:00,74632.33724733535
2022-04-01T13:15-07:00,75837.8446094033
2022-04-01T13:30-07:00,77242.24913920707
2022-04-01T13:45-07:00,78581.99043886158
2022-04-01T14:00-07:00,79919.42233743936
2022-04-01T14:15-07:00,78436.4981710258
2022-04-01T14:30-07:00,79870.05888942364
2022-04-01T14:45-07:00,75588.42929311338
2022-04-01T15:00-07:00,76908.82935875005
2022-04-01T15:15-07:00,75666.37157945397
2022-04-01T15:30-07:00,72683.78008882036
2022-04-01T15:45-07:00,76940.58362355549
2022-04-01T16:00-07:00,76892.95222634733
2022-04-01T16:15-07:00,79787.78647606412
2022-04-01T16:30-07:00,79902.96785476746
2022-04-01T16:45-07:00,79853.60440675174
2022-04-01T17:00-07:00,79968.78578545507
2022-04-01T17:15-07:00,79985.24026812697
2022-04-01T17:30-07:00,81288.03115055336
2022-04-01T17:45-07:00,79837.14992407983
2022-04-01T18:00-07:00,80051.05819881459
2022-04-01T18:15-07:00,79623.24164934507
2022-04-01T18:30-07:00,78307.17171072733
2022-04-01T18:45-07:00,81271.28799274686
2022-04-01T19:00-07:00,82774.70809371665
2022-04-01T19:15-07:00,81087.11325687537
2022-04-01T19:30-07:00,82434.07143489477
2022-04-01T19:45-07:00,79656.15061468889
2022-04-01T20:00-07:00,82451.10326783586
2022-04-01T20:15-07:00,82553.29426548243
2022-04-01T20:30-07:00,82672.51709607009
2022-04-01T20:45-07:00,82740.64442783446
2022-04-01T21:00-07:00,82893.93092430431
2022-04-01T21:15-07:00,82927.9945901865
2022-04-01T21:30-07:00,81455.46272861835
2022-04-01T21:45-07:00,81505.69220203786
2022-04-01T22:00-07:00,83013.15375489197
2022-04-01T22:15-07:00,83013.15375489197
2022-04-01T22:30-07:00,81488.94904423135
2022-04-01T22:45-07:00,82808.77175959884
2022-04-01T23:00-07:00,82808.77175959884
2022-04-01T23:15-07:00,81321.51746616636
2022-04-01T23:30-07:00,82808.77175959884
2022-04-01T23:45-07:00,82910.9627572454
2022-04-02T00:00-07:00,81455.46272861835
2022-04-02T00:15-07:00,82979.09008900978
2022-04-02T00:30-07:00,81488.94904423135
2022-04-02T00:45-07:00,82945.0264231276
2022-04-02T01:00-07:00,83013.15375489197
2022-04-02T01:15-07:00,81622.89430668335
2022-04-02T01:30-07:00,81673.12378010285
2022-04-02T01:45-07:00,79935.87682011125
2022-04-02T02:00-07:00,81421.97641300535
2022-04-02T02:15-07:00,81539.17851765086
2022-04-02T02:30-07:00,82927.9945901865
2022-04-02T02:45-07:00,81522.43535984436
2022-04-02T03:00-07:00,81355.00378177936
2022-04-02T03:15-07:00,82859.86725842212
2022-04-02T03:30-07:00,82859.86725842212
2022-04-02T03:45-07:00,81438.71957081185
2022-04-02T04:00-07:00,81438.71957081185
2022-04-02T04:15-07:00,82808.77175959884
2022-04-02T04:30-07:00,81572.66483326384
2022-04-02T04:45-07:00,84385.51534475571
2022-04-02T05:00-07:00,81355.00378177936
2022-04-02T05:15-07:00,82621.42159724681
2022-04-02T05:30-07:00,81204.31536152087
2022-04-02T05:45-07:00,79804.24095873603
2022-04-02T06:00-07:00,82655.485263129
2022-04-02T06:15-07:00,81137.34273029487
2022-04-02T06:30-07:00,79754.87751072031
2022-04-02T06:45-07:00,81254.54483494036
2022-04-02T07:00-07:00,81170.82904590787
2022-04-02T07:15-07:00,78759.81432177199
2022-04-02T07:30-07:00,78889.14078207046
2022-04-02T07:45-07:00,78711.31689916007
2022-04-02T08:00-07:00,79968.78578545507
2022-04-02T08:15-07:00,78711.31689916007
2022-04-02T08:30-07:00,79853.60440675174
2022-04-02T08:45-07:00,78662.81947654813
2022-04-02T09:00-07:00,78856.80916699585
2022-04-02T09:15-07:00,78953.80401221971
2022-04-02T09:30-07:00,76243.14449837441
2022-04-02T09:45-07:00,80264.96647354934
2022-04-02T10:00-07:00,77432.77472803964
2022-04-02T10:15-07:00,78743.64851423468
2022-04-02T10:30-07:00,76243.14449837441
2022-04-02T10:45-07:00,76211.96758383818
2022-04-02T11:00-07:00,77464.52899284507
2022-04-02T11:15-07:00,78775.9801293093
2022-04-02T11:30-07:00,78856.80916699585
2022-04-02T11:45-07:00,79018.46724236895
2022-04-02T12:00-07:00,77543.91465485864
2022-04-02T12:15-07:00,78436.4981710258
2022-04-02T12:30-07:00,78614.32205393621
2022-04-02T12:45-07:00,77353.38906602607
2022-04-02T13:00-07:00,78905.30658960778
2022-04-02T13:15-07:00,75978.14072481637
2022-04-02T13:30-07:00,78630.48786147352
2022-04-02T13:45-07:00,78792.14593684662
2022-04-02T14:00-07:00,78646.65366901083
2022-04-02T14:15-07:00,78856.80916699585
2022-04-02T14:30-07:00,80149.78509484601
2022-04-02T14:45-07:00,78937.6382046824
2022-04-02T15:00-07:00,77432.77472803964
2022-04-02T15:15-07:00,80232.05750820554
2022-04-02T15:30-07:00,78808.31174438391
2022-04-02T15:45-07:00,80232.05750820554
2022-04-02T16:00-07:00,80100.4216468303
2022-04-02T16:15-07:00,80051.05819881459
2022-04-02T16:30-07:00,78662.81947654813
