,Unnamed: 0,Single Line Building Name,Building String,Build 3-letter code,Building Number,Caltech Building List Name,Jaces,Substation,New Building Name,Notes,Unnamed: 0.1,name,building,type,geometry
0,0,Substation 1,substation1,,None,None,,Substation 1,,"Not in any list, only single line",,,,,
1,1,Hameetman Center,hameetman,,51,HAMEETMAN CENTER,,Substation 1,,,7.0,Hameetman Center,yes,multipolygon,"POLYGON ((-118.1240678 34.1374919, -118.1240678 34.1374444, -118.1240486 34.1374444, -118.1240486 34.1372986, -118.1240691 34.1372975, -118.1240705 34.1372195, -118.12405 34.1372206, -118.1240514 34.1370895, -118.1239457 34.1370895, -118.1236854 34.1370895, -118.1236854 34.1372263, -118.123853 34.1372261, -118.123852 34.1374726, -118.1239722 34.1374726, -118.1239722 34.1374919, -118.1240678 34.1374919))"
2,2,Sherman Fairchild Library,fairchildLibrary,,43,SHERMAN FAIRCHILD LIBRARY,,Substation 1,,,61.0,Fairchild Library,yes,,"POLYGON ((-118.1247139 34.1375298, -118.1247166 34.1375431, -118.1248855 34.1375431, -118.1248855 34.1373877, -118.1248534 34.1373877, -118.1248534 34.13731, -118.1248842 34.13731, -118.1248882 34.1371535, -118.1247139 34.1371535, -118.1247139 34.1375298))"
3,3,Firestone Laboratory,firestone,,50,FIRESTONE LABORATORY,,Substation 1,,,50.0,Firestone,yes,,"POLYGON ((-118.1240816 34.1366734, -118.1241996 34.1366767, -118.1241955 34.1366034, -118.124044 34.1366001, -118.1237771 34.1366001, -118.1236819 34.1366001, -118.1236846 34.1367111, -118.1240816 34.1367133, -118.1240816 34.1366734))"
4,4,Guggenheim Laboratory,guggenheim,,45,GUGGENHEIM LABORATORY,,Substation 1,,,54.0,Guggenheim,yes,,"POLYGON ((-118.1248956 34.13671, -118.1248956 34.1365724, -118.1247856 34.1365735, -118.1247159 34.1365724, -118.1247146 34.136549, -118.1245174 34.1365457, -118.1245174 34.1364269, -118.124453 34.1364247, -118.124453 34.1364691, -118.1242304 34.1364669, -118.1242318 34.1365712, -118.1241969 34.136569, -118.1241955 34.1366034, -118.1241996 34.1366767, -118.1241982 34.1367089, -118.1248956 34.13671))"
5,5,Synchrotron,synchrotron,,49,SYNCHROTRON,,Substation 1,,,49.0,Synchrotron,yes,,"POLYGON ((-118.124044 34.1366001, -118.124044 34.136236, -118.124044 34.1361028, -118.1237731 34.1361072, -118.1237771 34.1366001, -118.124044 34.1366001))"
5,5,Synchrotron,synchrotron,,49,SYNCHROTRON,,Substation 1,,,49.0,Synchrotron,yes,,"POLYGON ((-118.124044 34.1366001, -118.124044 34.136236, -118.124044 34.1361028, -118.1237731 34.1361072, -118.1237771 34.1366001, -118.124044 34.1366001))"
6,6,Karman,karman,,46,KARMAN LABORATORY,,Substation 1,,,55.0,Karman,yes,,"POLYGON ((-118.1248956 34.1365724, -118.1248916 34.1363759, -118.1246086 34.136377, -118.1246086 34.1364636, -118.1247669 34.1364625, -118.1247682 34.1364813, -118.1247883 34.1364813, -118.1247856 34.1365735, -118.1248956 34.1365724))"
7,7,Downs Lauritsen,downsLauritsen,,47,DOWNS-LAURITSEN LABORATORY,,Substation 1,,,56.0,Downs,yes,,"POLYGON ((-118.124842 34.1362382, -118.1248373 34.1360967, -118.1247581 34.1360978, -118.1247581 34.1360767, -118.1245176 34.1360759, -118.1245194 34.1360989, -118.1245281 34.1362738, -118.1247508 34.1362738, -118.1247528 34.1362366, -118.124842 34.1362382))"
7,7,Downs Lauritsen,downsLauritsen,,47,DOWNS-LAURITSEN LABORATORY,,Substation 1,,,56.0,Downs,yes,,"POLYGON ((-118.124842 34.1362382, -118.1248373 34.1360967, -118.1247581 34.1360978, -118.1247581 34.1360767, -118.1245176 34.1360759, -118.1245194 34.1360989, -118.1245281 34.1362738, -118.1247508 34.1362738, -118.1247528 34.1362366, -118.124842 34.1362382))"
8,7,Downs Lauritsen,downsLauritsen,,47,DOWNS-LAURITSEN LABORATORY,,Substation 1,,,57.0,Lauritsen,yes,,"POLYGON ((-118.1242183 34.1362749, -118.1245281 34.1362738, -118.1245194 34.1360989, -118.124451 34.1360978, -118.124451 34.1360756, -118.1241345 34.1360734, -118.1241359 34.1360912, -118.124046 34.13609, -118.124044 34.1361028, -118.124044 34.136236, -118.124217 34.1362349, -118.1242183 34.1362749))"
8,7,Downs Lauritsen,downsLauritsen,,47,DOWNS-LAURITSEN LABORATORY,,Substation 1,,,57.0,Lauritsen,yes,,"POLYGON ((-118.1242183 34.1362749, -118.1245281 34.1362738, -118.1245194 34.1360989, -118.124451 34.1360978, -118.124451 34.1360756, -118.1241345 34.1360734, -118.1241359 34.1360912, -118.124046 34.13609, -118.124044 34.1361028, -118.124044 34.136236, -118.124217 34.1362349, -118.1242183 34.1362749))"
9,8,Eudora Spalding,eudoraSpalding,,41,SPALDING LAB,,Substation 1,,,,Spalding,yes,,"POLYGON ((-118.1248869 34.1376874, -118.1248855 34.1375431, -118.1247166 34.1375431, -118.1247139 34.1375298, -118.1241922 34.1375264, -118.1241922 34.1376874, -118.1248869 34.1376874))"
