t,kvaA,kvaB,kvaC
2021-12-31T22:45-07:00,3335.929855377658,3459.4828129842376,3074.3901834347575
2021-12-31T23:00-07:00,4200.800558623718,4304.14625680866,3935.2194347964896
2021-12-31T23:15-07:00,2965.270982557918,3212.376897771078,2841.718024951338
2021-12-31T23:30-07:00,4058.1950421338797,4283.938997387024,3916.7442261824212
2021-12-31T23:45-07:00,3812.243827459099,3935.2194347964896,3549.5494549778196
2022-01-01T00:00-07:00,3916.7442261824212,4141.910831166376,3776.4481107693423
2022-01-01T00:15-07:00,4406.337254455224,4651.133768591625,4161.540740318823
2022-01-01T00:30-07:00,3794.3459691142207,4161.540740318823,3549.5494549778196
2022-01-01T00:45-07:00,3671.94771204602,3916.7442261824212,3532.8062971713202
2022-01-01T01:00-07:00,3671.94771204602,3916.7442261824212,3549.5494549778196
2022-01-01T01:15-07:00,4039.1424832506223,4161.540740318823,3794.3459691142207
2022-01-01T01:30-07:00,3566.2926127843184,3812.243827459099,3304.752940841418
2022-01-01T01:45-07:00,3794.3459691142207,4039.1424832506223,3671.94771204602
2022-01-01T02:00-07:00,3671.94771204602,3916.7442261824212,3427.1511979096185
2022-01-01T02:15-07:00,4895.930282728027,5140.726796864428,4773.532025659826
2022-01-01T02:30-07:00,3304.752940841418,3427.1511979096185,3059.956426705017
2022-01-01T02:45-07:00,3916.7442261824212,4039.1424832506223,3794.3459691142207
2022-01-01T03:00-07:00,4895.930282728027,5140.726796864428,4751.015365161431
2022-01-01T03:15-07:00,4528.735511523425,4651.133768591625,4406.337254455224
2022-01-01T03:30-07:00,3304.752940841418,3427.1511979096185,3182.3546837732174
2022-01-01T03:45-07:00,4039.1424832506223,4039.1424832506223,3776.4481107693423
2022-01-01T04:00-07:00,4651.133768591625,4895.930282728027,4385.552644764398
2022-01-01T04:15-07:00,4773.532025659826,5140.726796864428,4629.19445836242
2022-01-01T04:30-07:00,3671.94771204602,4039.1424832506223,3532.8062971713202
2022-01-01T04:45-07:00,3794.3459691142207,3898.2690175683533,3654.6272039703313
2022-01-01T05:00-07:00,4141.910831166376,4141.910831166376,3898.2690175683533
2022-01-01T05:15-07:00,4773.532025659826,4872.836271960442,4507.373551563409
2022-01-01T05:30-07:00,4161.540740318823,4385.552644764398,4020.0899243673643
2022-01-01T05:45-07:00,4141.910831166376,4385.552644764398,4020.0899243673643
2022-01-01T06:00-07:00,2951.414576097367,3074.3901834347575,2815.1599125686153
2022-01-01T06:15-07:00,4181.17064947127,4304.14625680866,4058.1950421338797
2022-01-01T06:30-07:00,3935.2194347964896,4181.17064947127,3812.243827459099
2022-01-01T06:45-07:00,3830.1416858039775,4058.1950421338797,3566.2926127843184
2022-01-01T07:00-07:00,4058.1950421338797,4304.14625680866,3916.7442261824212
2022-01-01T07:15-07:00,3443.3170054469283,3443.3170054469283,3182.3546837732174
2022-01-01T07:30-07:00,3197.3657907721476,3443.3170054469283,3182.3546837732174
2022-01-01T07:45-07:00,3566.2926127843184,3794.3459691142207,3671.94771204602
2022-01-01T08:00-07:00,3566.2926127843184,3812.243827459099,3689.268220121709
2022-01-01T08:15-07:00,3812.243827459099,4039.1424832506223,3794.3459691142207
2022-01-01T08:30-07:00,4673.073078820831,4919.024293495611,4651.133768591625
2022-01-01T08:45-07:00,4304.14625680866,4673.073078820831,4406.337254455224
2022-01-01T09:00-07:00,3443.3170054469283,3935.2194347964896,3566.2926127843184
2022-01-01T09:15-07:00,4283.938997387024,4773.532025659826,4406.337254455224
2022-01-01T09:30-07:00,2692.7616555004147,3059.956426705017,2815.1599125686153
2022-01-01T09:45-07:00,3074.3901834347575,3320.3413981095377,3182.3546837732174
2022-01-01T10:00-07:00,4773.532025659826,5140.726796864428,4895.930282728027
2022-01-01T10:15-07:00,1967.6097173982448,2213.5609320730255,2080.7703701594114
2022-01-01T10:30-07:00,2705.4633614225863,3074.3901834347575,2937.5581696368163
2022-01-01T10:45-07:00,1967.6097173982448,2090.585324735635,2080.7703701594114
2022-01-01T11:00-07:00,3182.3546837732174,3304.752940841418,3304.752940841418
2022-01-01T11:15-07:00,1967.6097173982448,2213.5609320730255,2080.7703701594114
2022-01-01T11:30-07:00,2336.5365394104156,2582.4877540851962,2325.5668842958125
2022-01-01T11:45-07:00,2815.1599125686153,3182.3546837732174,3059.956426705017
