t,kvaA,kvaB,kvaC
2021-12-31T22:45-07:00,23777.593486305548,17773.15068673344,22348.651570061225
2021-12-31T23:00-07:00,23185.232110116995,17172.70640677623,20316.955972782933
2021-12-31T23:15-07:00,23657.504630314106,17617.266114052243,21255.727510485263
2021-12-31T23:30-07:00,23177.14920634834,17737.932320312873,21736.08293445103
2021-12-31T23:45-07:00,23657.504630314106,17172.70640677623,21015.54979850238
2022-01-01T00:00-07:00,23424.2551215615,16932.528694793345,20914.513501394194
2022-01-01T00:15-07:00,23663.278133006002,18013.328398716323,22468.16307578348
2022-01-01T00:30-07:00,22826.697592950237,16932.528694793345,19958.421455616175
2022-01-01T00:45-07:00,24619.370178784022,17052.617550784787,21870.605547172214
2022-01-01T01:00-07:00,22946.209098672487,17412.884118759113,21392.559524283206
2022-01-01T01:15-07:00,24017.771198288432,17893.23954272488,22216.4383584168
2022-01-01T01:30-07:00,23537.415774322664,17375.93370153098,20535.19437453661
2022-01-01T01:45-07:00,23177.14920634834,16812.439838801904,20174.927806562286
2022-01-01T02:00-07:00,23902.301144450506,17532.972974750555,22109.62855861672
2022-01-01T02:15-07:00,23417.326918331222,17893.23954272488,22348.651570061225
2022-01-01T02:30-07:00,22946.209098672487,17052.617550784787,20555.978984227437
2022-01-01T02:45-07:00,23902.301144450506,18013.328398716323,22468.16307578348
2022-01-01T03:00-07:00,23782.789638728256,17773.15068673344,21990.117052894468
2022-01-01T03:15-07:00,23902.301144450506,16812.439838801904,20316.955972782933
2022-01-01T03:30-07:00,23424.2551215615,16812.439838801904,21034.02500711645
2022-01-01T03:45-07:00,23417.326918331222,17653.061830741997,22468.16307578348
2022-01-01T04:00-07:00,23304.743615839245,17532.972974750555,21990.117052894468
2022-01-01T04:15-07:00,23543.76662728375,16932.528694793345,20436.467478505183
2022-01-01T04:30-07:00,23065.72060439474,16731.610801115356,20436.467478505183
2022-01-01T04:45-07:00,23663.278133006002,17687.702846893375,21512.071030005456
