t,kvaA,kvaB,kvaC
2021-12-31T22:45-07:00,21916.240705164615,22134.38699446489,24843.335180160382
2021-12-31T23:00-07:00,23853.713234123854,22011.07974895552,21368.58479565913
2021-12-31T23:15-07:00,24803.750842183297,22679.385856062545,23645.609294985035
2021-12-31T23:30-07:00,24793.700392432333,21436.404778773493,23756.931500315317
2021-12-31T23:45-07:00,21799.58615374604,19618.004079005706,17876.30476556302
2022-01-01T00:00-07:00,24692.11904514505,22529.19125204848,22488.616047204323
2022-01-01T00:15-07:00,21715.02858301664,19687.06957804755,21859.975890723177
2022-01-01T00:30-07:00,21515.393919622664,19321.164992097198,18951.967465272744
2022-01-01T00:45-07:00,23918.085212722937,23210.43658321015,21835.144504720523
2022-01-01T01:00-07:00,26298.24009084472,21375.30764169474,23415.752229313573
2022-01-01T01:15-07:00,22434.851542987213,18795.6438876471,20735.42840413911
2022-01-01T01:30-07:00,22117.57305875373,19786.57702688157,20673.20700305438
2022-01-01T01:45-07:00,22186.7191540216,18747.11627640409,19000.275659348663
2022-01-01T02:00-07:00,22564.577199415042,19624.964125941664,20222.722466302603
2022-01-01T02:15-07:00,22485.38334863054,23833.545931982146,27165.34368670286
2022-01-01T02:30-07:00,25279.12748672551,23064.88740498635,21501.318624470397
2022-01-01T02:45-07:00,22584.473384587178,17633.469649548122,19966.474019072924
2022-01-01T03:00-07:00,23718.573255682415,21543.910109704695,21427.512815872826
2022-01-01T03:15-07:00,22232.26508168526,18160.87036116675,19442.5764190214
2022-01-01T03:30-07:00,22787.185901187844,20347.569434017914,21388.84827494924
2022-01-01T03:45-07:00,23598.961566078193,19351.084438717917,21539.500433809993
2022-01-01T04:00-07:00,23303.04204008713,21962.56344092059,21316.853112716544
2022-01-01T04:15-07:00,24512.5813333057,19912.661246619457,22404.499213090447
2022-01-01T04:30-07:00,23751.105711521912,23821.65502198786,22614.49683093196
2022-01-01T04:45-07:00,21408.97710503002,20400.482556235682,22832.212387544518
2022-01-01T05:00-07:00,22163.816989252213,20309.28229851732,22960.842919936138
2022-01-01T05:15-07:00,21367.124941723996,20556.219393249725,22206.622369880773
2022-01-01T05:30-07:00,21006.027772644822,18094.690969196556,19114.163900319305
2022-01-01T05:45-07:00,20447.87614704254,18395.450267864486,19438.830951141354
2022-01-01T06:00-07:00,20592.41600942157,19081.440877075405,22842.314743619554
2022-01-01T06:15-07:00,22662.142499482274,21408.959289082395,23226.912065737677
2022-01-01T06:30-07:00,23475.746154275916,22023.32190789232,22844.253594587975
2022-01-01T06:45-07:00,23316.53477945021,22573.420225353973,21658.961078364227
