t,kvaA,kvaB,kvaC
2021-12-31T22:45-07:00,1780.6348071731531,2155.1042481514064,2513.413448992909
2021-12-31T23:00-07:00,1181.6743729967516,3305.0300693230124,2539.2442659444855
2021-12-31T23:15-07:00,1778.9605169405345,2432.8559096185286,2524.5506906916476
2021-12-31T23:30-07:00,1425.1776597950563,2848.357553047019,2548.7590348527483
2021-12-31T23:45-07:00,1132.4378723117547,1418.20324176186,2532.8356309348883
2022-01-01T00:00-07:00,1250.2289085124341,2050.8001819522897,2511.0578958821
2022-01-01T00:15-07:00,1215.7437180521338,1394.191207164775,2533.2975580617112
2022-01-01T00:30-07:00,1847.2322127012058,2044.2703623668788,2519.302421628522
2022-01-01T00:45-07:00,1052.6250574777555,3312.703054466618,2491.716722650938
2022-01-01T01:00-07:00,1154.3425178047837,2184.8436550450815,2520.999950416501
2022-01-01T01:15-07:00,1136.1561038064053,3528.660918912889,2520.999950416501
2022-01-01T01:30-07:00,1797.9727340067182,3441.1921640532087,2562.326704180677
2022-01-01T01:45-07:00,1080.661147776061,1554.584906690652,2534.0192712259877
2022-01-01T02:00-07:00,1082.693467282694,1991.9912948310332,2534.0192712259877
2022-01-01T02:15-07:00,1128.188558208831,1549.4926993625893,2530.4685309508413
2022-01-01T02:30-07:00,1079.1369275273519,3409.6228888425103,2535.6762049189965
2022-01-01T02:45-07:00,1315.8389750543406,2254.6796597588227,2540.4336801126888
2022-01-01T03:00-07:00,1714.383938665804,1457.2436084132198,2506.3467896604825
2022-01-01T03:15-07:00,1066.8739613828259,3338.65513814415,2541.6229128017703
2022-01-01T03:30-07:00,1115.9257090126175,1368.233582460627,2520.999950416501
2022-01-01T03:45-07:00,1068.3808608811928,2060.4419318882397,2528.101430966794
2022-01-01T04:00-07:00,1219.9411364170112,3311.1498874725175,2518.6328504324542
2022-01-01T04:15-07:00,1142.062348023411,2757.24004714069,2506.3467896604825
2022-01-01T04:30-07:00,1138.8407826131975,2061.140367404263,2530.4685309508413
2022-01-01T04:45-07:00,1087.2891057079473,2030.0502071548979,2509.8802091852863
